employee_id,employee_number,first_name,last_name,email,phone,gender,date_of_birth,job_id,department,grade_code,manager_id,location_city,location_country,employment_status,employment_type,hire_date,termination_date,current_salary,currency
EMP0013,E100013,Emily,Garcia,emily.garcia13@corp.example.com,+1-602-922-5871,female,1987-09-25,JOB0013,Facilities,G01,EMP0090,Dallas,US,retired,full_time,2016-06-05,,58441.01,USD
EMP0014,E100014,Sophia,Lee,sophia.lee14@corp.example.com,+1-814-431-3270,female,1982-04-17,JOB0014,IT,G12,EMP0092,Austin,US,active,contract,2025-07-24,,203208.49,USD
EMP0015,E100015,Logan,Singh,logan.singh15@corp.example.com,+1-558-479-4094,non_binary,2004-03-13,JOB0015,Facilities,G01,EMP0302,New York,US,active,intern,2021-01-07,,57167.36,USD
EMP0016,E100016,Scarlett,Nguyen,scarlett.nguyen16@corp.example.com,+1-733-835-8273,non_binary,1992-06-28,JOB0016,Product,G02,EMP0851,Bengaluru,IN,retired,contract,2015-01-08,,21932.97,INR
EMP0017,E100017,Lucas,Johnson,lucas.johnson17@corp.example.com,+1-347-757-1990,female,1980-09-30,JOB0017,Marketing,G02,EMP0352,San Francisco,US,on_leave,contract,2014-02-23,,72258.08,USD
EMP0018,E100018,Alexander,Costa,alexander.costa18@corp.example.com,+1-711-651-2176,prefer_not_to_say,2000-04-30,JOB0018,Finance,G10,EMP0442,Bengaluru,IN,active,part_time,2014-01-21,,53034.52,INR
EMP0019,E100019,Harper,Brown,harper.brown19@corp.example.com,+1-937-514-4827,non_binary,1971-03-17,JOB0019,Operations,G09,EMP0297,Denver,US,terminated,intern,2019-07-02,2025-08-03,163228.04,USD
EMP0020,E100020,Abigail,Robinson,abigail.robinson20@corp.example.com,+1-748-228-2062,non_binary,1997-09-03,JOB0020,Engineering,G12,EMP0650,Toronto,CA,on_leave,part_time,2024-02-04,,175821.77,USD
EMP0021,E100021,Grace,Rodriguez,grace.rodriguez21@corp.example.com,+1-373-287-5015,female,2003-09-07,JOB0021,Security,G08,EMP0293,Seattle,US,terminated,part_time,2014-12-18,2019-04-19,149167.24,USD
EMP0022,E100022,Riley,Costa,riley.costa22@corp.example.com,+1-727-531-6447,male,1991-01-05,JOB0022,Data,G07,EMP0435,Dallas,US,retired,intern,2020-02-03,,135979.66,USD
EMP0023,E100023,Sophia,Murphy,sophia.murphy23@corp.example.com,+1-467-393-9475,prefer_not_to_say,1965-03-26,JOB0023,Engineering,G05,EMP0271,Chicago,US,active,intern,2014-01-03,,110179.48,USD
EMP0024,E100024,Arjun,Thomas,arjun.thomas24@corp.example.com,+1-762-642-6757,non_binary,2004-08-25,JOB0024,Supply Chain,G06,EMP0521,Austin,US,terminated,part_time,2016-10-08,2018-04-22,123891.60,USD
EMP0025,E100025,Grace,Brown,grace.brown25@corp.example.com,+1-328-812-8326,non_binary,1996-12-17,JOB0025,Facilities,G02,EMP0737,Austin,US,retired,contract,2025-08-01,,70522.33,USD
EMP0026,E100026,Oliver,Kim,oliver.kim26@corp.example.com,+1-204-300-2411,male,1968-09-11,JOB0026,Operations,G09,EMP0900,Dallas,US,active,part_time,2020-12-15,,163516.03,USD
EMP0027,E100027,Daniel,Brown,daniel.brown27@corp.example.com,+1-644-821-7980,male,1968-12-28,JOB0027,Supply Chain,G09,EMP0924,Toronto,CA,terminated,full_time,2014-10-25,2019-08-12,141544.05,USD
EMP0028,E100028,Lily,Perez,lily.perez28@corp.example.com,+1-721-241-1920,female,1969-08-01,JOB0028,HR,G12,EMP0935,Seattle,US,active,full_time,2016-11-14,,202923.49,USD
EMP0029,E100029,Riley,Miller,riley.miller29@corp.example.com,+1-327-835-5482,prefer_not_to_say,1967-11-03,JOB0029,Finance,G07,EMP0969,Chicago,US,active,contract,2019-12-28,,135099.42,USD
EMP0030,E100030,Scarlett,Miller,scarlett.miller30@corp.example.com,+1-603-895-4820,non_binary,1972-04-16,JOB0030,IT,G10,EMP0940,Hyderabad,IN,on_leave,part_time,2018-11-29,,54102.60,INR
EMP0031,E100031,Riley,Lewis,riley.lewis31@corp.example.com,+1-352-679-4703,male,1976-05-26,JOB0031,Product,G02,EMP0826,Toronto,CA,active,full_time,2022-05-18,,63403.93,USD
EMP0032,E100032,Alexander,Jones,alexander.jones32@corp.example.com,+1-224-350-3618,non_binary,1994-05-18,JOB0032,Security,G09,EMP0839,Dallas,US,active,intern,2015-12-10,,166371.37,USD
EMP0033,E100033,Henry,Martin,henry.martin33@corp.example.com,+1-452-435-7796,male,1971-05-15,JOB0033,HR,G05,EMP0438,Seattle,US,on_leave,intern,2016-11-24,,111526.91,USD
EMP0034,E100034,Owen,Murphy,owen.murphy34@corp.example.com,+1-899-583-7082,male,1976-07-21,JOB0034,Facilities,G06,EMP0542,San Francisco,US,active,part_time,2019-06-20,,123696.51,USD
EMP0035,E100035,Sebastian,Thomas,sebastian.thomas35@corp.example.com,+1-389-940-1137,female,1993-10-17,JOB0035,IT,G04,EMP0043,San Francisco,US,terminated,contract,2016-02-18,2019-02-13,96333.36,USD
EMP0036,E100036,Isabella,Anderson,isabella.anderson36@corp.example.com,+1-388-211-7016,non_binary,2004-06-26,JOB0036,Data,G02,EMP0706,Dallas,US,terminated,contract,2017-01-16,2022-10-24,71820.29,USD
EMP0037,E100037,Arjun,Jones,arjun.jones37@corp.example.com,+1-335-725-9442,male,1978-02-15,JOB0037,Facilities,G08,EMP0501,Dallas,US,active,full_time,2015-10-16,,152634.48,USD
EMP0038,E100038,Aria,Nguyen,aria.nguyen38@corp.example.com,+1-336-404-8626,female,1980-01-27,JOB0038,Marketing,G01,EMP0761,Dallas,US,terminated,full_time,2024-11-27,2025-12-04,60864.01,USD
EMP0039,E100039,Logan,Walker,logan.walker39@corp.example.com,+1-864-442-9020,female,1967-10-22,JOB0039,Data,G09,EMP0783,Toronto,CA,active,part_time,2019-09-26,,142745.89,USD
EMP0040,E100040,Grace,Kim,grace.kim40@corp.example.com,+1-340-216-5037,prefer_not_to_say,1995-03-29,JOB0040,IT,G03,EMP0908,London,UK,on_leave,full_time,2019-05-02,,76456.74,GBP
EMP0041,E100041,Mia,Lewis,mia.lewis41@corp.example.com,+1-834-352-6946,male,1984-08-22,JOB0041,IT,G01,EMP0282,Chicago,US,active,part_time,2019-09-10,,61512.47,USD
EMP0042,E100042,Ananya,Murphy,ananya.murphy42@corp.example.com,+1-422-640-8500,male,1987-08-30,JOB0042,Marketing,G11,EMP0104,Atlanta,US,active,full_time,2024-09-23,,189153.81,USD
EMP0043,E100043,Priya,Singh,priya.singh43@corp.example.com,+1-514-310-6498,non_binary,1990-11-14,JOB0043,Operations,G05,EMP0518,Austin,US,active,intern,2017-10-04,,110735.46,USD
EMP0044,E100044,Ethan,Garcia,ethan.garcia44@corp.example.com,+1-804-906-3116,prefer_not_to_say,1968-09-18,JOB0044,Operations,G09,EMP0086,Toronto,CA,terminated,full_time,2014-02-01,2022-09-05,144543.89,USD
EMP0045,E100045,Lucas,Smith,lucas.smith45@corp.example.com,+1-485-849-2974,male,1971-07-07,JOB0045,HR,G03,EMP0223,Chicago,US,terminated,intern,2020-12-04,2023-05-25,82300.40,USD
EMP0046,E100046,Mateo,Hernandez,mateo.hernandez46@corp.example.com,+1-541-308-6682,female,1968-12-09,JOB0046,Operations,G05,EMP0721,San Francisco,US,active,intern,2024-01-30,,111544.82,USD
EMP0047,E100047,Sofia,Martinez,sofia.martinez47@corp.example.com,+1-695-734-6331,female,1967-06-15,JOB0047,Sales,G02,EMP0061,London,UK,active,intern,2024-10-15,,63105.76,GBP
EMP0048,E100048,Chloe,Jackson,chloe.jackson48@corp.example.com,+1-853-393-2824,prefer_not_to_say,2001-03-16,JOB0048,HR,G02,EMP0750,Austin,US,terminated,full_time,2026-05-19,2026-07-30,73133.05,USD
EMP0049,E100049,Lucas,Wilson,lucas.wilson49@corp.example.com,+1-794-719-6429,male,1965-01-10,JOB0049,Product,G04,EMP0674,Dallas,US,retired,intern,2019-12-09,,99205.46,USD
EMP0050,E100050,Sebastian,Davis,sebastian.davis50@corp.example.com,+1-979-610-3062,male,1967-09-19,JOB0050,IT,G02,EMP0634,Atlanta,US,on_leave,contract,2026-02-11,,71343.83,USD
EMP0051,E100051,Liam,Johnson,liam.johnson51@corp.example.com,+1-235-964-2799,female,1966-01-28,JOB0051,Security,G02,EMP0093,Dallas,US,terminated,intern,2020-12-31,2026-06-21,72310.63,USD
EMP0052,E100052,Wei,Nguyen,wei.nguyen52@corp.example.com,+1-651-437-7104,non_binary,1970-11-09,JOB0052,Supply Chain,G11,EMP0085,Hyderabad,IN,active,full_time,2022-09-02,,57317.29,INR
EMP0053,E100053,Amelia,Anderson,amelia.anderson53@corp.example.com,+1-323-621-6842,male,1991-05-04,JOB0053,Legal,G08,EMP0426,Hyderabad,IN,retired,part_time,2023-12-06,,45746.38,INR
EMP0054,E100054,Jacob,Rodriguez,jacob.rodriguez54@corp.example.com,+1-318-587-8379,female,1974-12-15,JOB0054,Data,G11,EMP0592,Hyderabad,IN,terminated,part_time,2023-04-10,2023-07-26,58043.02,INR
EMP0055,E100055,Yuki,Jackson,yuki.jackson55@corp.example.com,+1-427-731-3481,female,1991-12-26,JOB0055,Operations,G01,EMP0903,Seattle,US,active,part_time,2023-06-09,,60649.49,USD
EMP0056,E100056,Nora,Lopez,nora.lopez56@corp.example.com,+1-979-493-8915,prefer_not_to_say,1987-07-19,JOB0056,Engineering,G02,EMP0591,Denver,US,on_leave,part_time,2018-08-04,,69187.03,USD
EMP0057,E100057,Alexander,Taylor,alexander.taylor57@corp.example.com,+1-346-507-3951,non_binary,2004-08-27,JOB0057,Finance,G02,EMP0108,Atlanta,US,on_leave,intern,2017-08-13,,72385.61,USD
EMP0058,E100058,Ananya,Brown,ananya.brown58@corp.example.com,+1-536-465-6784,female,1981-06-16,JOB0058,Marketing,G08,EMP0311,Chicago,US,active,intern,2026-05-24,,152455.21,USD
EMP0059,E100059,Noah,Taylor,noah.taylor59@corp.example.com,+1-400-914-6569,non_binary,1970-08-16,JOB0059,HR,G03,EMP0767,San Francisco,US,on_leave,full_time,2018-01-30,,86357.92,USD
EMP0060,E100060,Aiden,Jackson,aiden.jackson60@corp.example.com,+1-893-463-6389,female,1975-07-11,JOB0060,Supply Chain,G03,EMP0963,Bengaluru,IN,on_leave,contract,2019-04-03,,24815.82,INR
EMP0061,E100061,Riley,Jackson,riley.jackson61@corp.example.com,+1-911-405-1455,female,1980-08-30,JOB0061,Sales,G03,EMP0190,Seattle,US,terminated,full_time,2015-05-09,2023-11-08,84137.08,USD
EMP0062,E100062,Emma,Ramirez,emma.ramirez62@corp.example.com,+1-376-337-5382,male,1976-04-21,JOB0062,Legal,G09,EMP0286,New York,US,active,contract,2015-05-03,,162382.05,USD
EMP0063,E100063,Ella,Hernandez,ella.hernandez63@corp.example.com,+1-745-782-9701,male,1976-05-20,JOB0063,Legal,G03,EMP0089,Dallas,US,terminated,intern,2025-02-07,2025-10-11,82040.25,USD
EMP0064,E100064,Harper,Moore,harper.moore64@corp.example.com,+1-737-235-6585,non_binary,1985-11-01,JOB0064,Marketing,G03,EMP0031,Toronto,CA,active,intern,2014-11-20,,73858.34,USD
EMP0065,E100065,Grace,Clark,grace.clark65@corp.example.com,+1-302-856-1520,female,1996-04-28,JOB0065,Product,G01,EMP0563,Seattle,US,active,contract,2023-09-01,,58020.03,USD
EMP0066,E100066,Mason,Thompson,mason.thompson66@corp.example.com,+1-618-705-1225,male,1994-05-19,JOB0066,Facilities,G09,EMP0072,Denver,US,active,contract,2014-11-24,,165355.50,USD
EMP0067,E100067,Isabella,Costa,isabella.costa67@corp.example.com,+1-257-767-3617,male,1981-05-07,JOB0067,Sales,G09,EMP0493,London,UK,terminated,intern,2017-02-02,2026-01-18,151458.63,GBP
EMP0068,E100068,Lucas,Thompson,lucas.thompson68@corp.example.com,+1-382-462-1348,male,1977-09-18,JOB0068,Marketing,G03,EMP0802,Toronto,CA,active,part_time,2015-08-12,,74998.05,USD
EMP0069,E100069,Jacob,Silva,jacob.silva69@corp.example.com,+1-417-790-2508,male,1987-04-12,JOB0069,Security,G11,EMP0762,Dallas,US,active,full_time,2016-05-09,,191741.73,USD
EMP0070,E100070,Ava,White,ava.white70@corp.example.com,+1-417-650-8242,non_binary,1995-09-07,JOB0070,IT,G08,EMP0005,San Francisco,US,retired,part_time,2019-11-04,,152685.05,USD
EMP0071,E100071,Harper,Murphy,harper.murphy71@corp.example.com,+1-344-867-2925,female,1995-06-30,JOB0071,Customer Success,G02,EMP0775,Chicago,US,active,intern,2022-12-24,,73251.14,USD
EMP0072,E100072,Emma,Martin,emma.martin72@corp.example.com,+1-817-287-2820,prefer_not_to_say,1990-07-01,JOB0072,Finance,G12,EMP0300,Toronto,CA,active,intern,2025-12-02,,175946.33,USD
EMP0073,E100073,Riley,Lewis,riley.lewis73@corp.example.com,+1-849-486-4147,female,1973-11-10,JOB0073,Engineering,G05,EMP0480,Dallas,US,active,part_time,2020-11-20,,113165.70,USD
EMP0074,E100074,Emma,Jackson,emma.jackson74@corp.example.com,+1-708-226-6860,female,1967-09-22,JOB0074,Operations,G08,EMP0025,Bengaluru,IN,active,contract,2018-12-10,,46168.17,INR
EMP0075,E100075,Olivia,Anderson,olivia.anderson75@corp.example.com,+1-419-743-2480,non_binary,1966-10-01,JOB0075,Engineering,G08,EMP0154,Toronto,CA,active,part_time,2022-05-28,,128473.10,USD
EMP0076,E100076,Henry,Davis,henry.davis76@corp.example.com,+1-832-737-6380,non_binary,1967-03-06,JOB0076,Security,G11,EMP0501,Chicago,US,active,part_time,2019-07-09,,188106.54,USD
EMP0077,E100077,Emily,Chen,emily.chen77@corp.example.com,+1-911-629-3965,male,1989-07-20,JOB0077,Operations,G02,EMP0551,Bengaluru,IN,active,full_time,2024-02-15,,22031.69,INR
EMP0078,E100078,Aria,Ali,aria.ali78@corp.example.com,+1-719-460-5911,prefer_not_to_say,1988-02-13,JOB0078,Marketing,G12,EMP0462,London,UK,active,full_time,2021-10-12,,188548.24,GBP
EMP0079,E100079,Sebastian,Perez,sebastian.perez79@corp.example.com,+1-561-668-3150,prefer_not_to_say,1972-11-27,JOB0079,Sales,G01,EMP0962,New York,US,terminated,part_time,2026-05-05,2026-07-18,60771.91,USD
EMP0080,E100080,James,Miller,james.miller80@corp.example.com,+1-665-733-3839,male,1994-10-18,JOB0080,Product,G02,EMP0913,Dallas,US,terminated,part_time,2022-10-08,2024-08-19,73355.18,USD
EMP0081,E100081,Elijah,Ramirez,elijah.ramirez81@corp.example.com,+1-999-229-8884,prefer_not_to_say,1990-10-26,JOB0081,Finance,G09,EMP0846,San Francisco,US,on_leave,contract,2025-09-18,,161446.94,USD
EMP0082,E100082,Sebastian,Lewis,sebastian.lewis82@corp.example.com,+1-513-463-4269,non_binary,1975-02-28,JOB0082,Data,G02,EMP0641,Seattle,US,active,contract,2018-07-17,,71147.74,USD
EMP0083,E100083,Yuki,Lee,yuki.lee83@corp.example.com,+1-373-993-2519,female,1992-05-11,JOB0083,Data,G12,EMP0849,Seattle,US,active,contract,2016-10-03,,206698.38,USD
EMP0084,E100084,Mason,Taylor,mason.taylor84@corp.example.com,+1-805-926-3794,prefer_not_to_say,1967-06-24,JOB0084,HR,G03,EMP0157,Toronto,CA,active,intern,2025-03-31,,75498.40,USD
EMP0085,E100085,Liam,Moore,liam.moore85@corp.example.com,+1-917-948-5129,male,1966-01-07,JOB0085,Product,G02,EMP0279,Atlanta,US,active,full_time,2019-09-08,,70608.18,USD
EMP0086,E100086,Emily,Taylor,emily.taylor86@corp.example.com,+1-305-214-3233,prefer_not_to_say,1973-03-11,JOB0086,Product,G04,EMP0059,Bengaluru,IN,on_leave,intern,2016-09-28,,29392.86,INR
EMP0087,E100087,Michael,Martin,michael.martin87@corp.example.com,+1-409-933-5433,non_binary,1971-02-25,JOB0087,Product,G10,EMP0334,Chicago,US,active,intern,2019-06-30,,178960.83,USD
EMP0088,E100088,Aria,Moore,aria.moore88@corp.example.com,+1-431-679-3156,male,1988-02-13,JOB0088,Engineering,G12,EMP0933,Austin,US,terminated,part_time,2020-05-17,2023-06-11,205033.84,USD
EMP0089,E100089,Daniel,Robinson,daniel.robinson89@corp.example.com,+1-944-230-9409,female,1973-10-26,JOB0089,Data,G10,EMP0128,Chicago,US,active,part_time,2022-04-06,,177426.35,USD
EMP0090,E100090,Aria,Walker,aria.walker90@corp.example.com,+1-771-615-8257,female,1970-07-31,JOB0090,Operations,G01,EMP0730,Chicago,US,active,contract,2023-09-03,,55773.09,USD
EMP0091,E100091,Nora,Smith,nora.smith91@corp.example.com,+1-510-231-7494,prefer_not_to_say,1983-04-12,JOB0091,Finance,G01,EMP0096,Bengaluru,IN,active,full_time,2020-02-05,,17116.62,INR
EMP0092,E100092,Lucas,Smith,lucas.smith92@corp.example.com,+1-337-948-9561,female,1996-11-14,JOB0092,IT,G03,EMP0409,New York,US,terminated,part_time,2023-10-17,2025-01-23,85990.33,USD
EMP0093,E100093,James,Williams,james.williams93@corp.example.com,+1-530-286-8135,male,1983-07-22,JOB0093,Security,G02,EMP0779,London,UK,active,contract,2021-11-02,,64933.16,GBP
EMP0094,E100094,Amelia,Martinez,amelia.martinez94@corp.example.com,+1-509-623-7842,prefer_not_to_say,2001-06-17,JOB0094,Product,G02,EMP0472,Hyderabad,IN,active,intern,2017-09-24,,21011.00,INR
EMP0095,E100095,Olivia,Thompson,olivia.thompson95@corp.example.com,+1-693-894-8185,prefer_not_to_say,1987-02-27,JOB0095,Sales,G11,EMP0613,London,UK,terminated,intern,2021-02-20,2021-12-20,170966.04,GBP
EMP0096,E100096,Liam,Brown,liam.brown96@corp.example.com,+1-663-977-9831,non_binary,1985-12-29,JOB0096,Legal,G12,EMP0802,San Francisco,US,active,full_time,2022-03-02,,202046.44,USD
EMP0097,E100097,Isabella,Silva,isabella.silva97@corp.example.com,+1-927-257-9418,female,1986-11-23,JOB0097,Facilities,G03,EMP0851,Austin,US,active,part_time,2026-06-03,,85033.55,USD
EMP0098,E100098,Elena,Perez,elena.perez98@corp.example.com,+1-478-651-8436,female,1999-08-28,JOB0098,Product,G05,EMP0486,Hyderabad,IN,active,contract,2023-04-28,,34588.16,INR
EMP0099,E100099,Oliver,Martinez,oliver.martinez99@corp.example.com,+1-779-589-2563,prefer_not_to_say,2003-11-11,JOB0099,Product,G07,EMP0001,Toronto,CA,active,full_time,2017-02-28,,119672.74,USD
EMP0100,E100100,Isabella,Khan,isabella.khan100@corp.example.com,+1-549-907-7345,female,1970-03-27,JOB0100,Finance,G12,EMP0152,Dallas,US,retired,part_time,2021-03-12,,203842.44,USD
EMP0101,E100101,Sebastian,Lee,sebastian.lee101@corp.example.com,+1-569-997-5069,male,2004-10-29,JOB0101,Finance,G12,EMP0547,San Francisco,US,active,full_time,2018-07-29,,202824.76,USD
EMP0102,E100102,Ethan,Anderson,ethan.anderson102@corp.example.com,+1-408-443-9922,male,1993-06-10,JOB0102,Security,G02,EMP0214,Seattle,US,retired,intern,2018-02-03,,72760.04,USD
EMP0103,E100103,James,Thomas,james.thomas103@corp.example.com,+1-878-358-4929,prefer_not_to_say,1976-12-12,JOB0103,Security,G08,EMP0442,Denver,US,active,part_time,2023-05-14,,148840.71,USD
EMP0104,E100104,Grace,Anderson,grace.anderson104@corp.example.com,+1-292-686-1079,male,1995-03-28,JOB0104,Marketing,G04,EMP0264,Austin,US,active,intern,2017-10-18,,94652.93,USD
EMP0105,E100105,Noah,Lee,noah.lee105@corp.example.com,+1-829-959-6016,prefer_not_to_say,1989-05-13,JOB0105,Security,G03,EMP0438,Toronto,CA,active,contract,2024-10-03,,75834.58,USD
EMP0106,E100106,Aiden,Perez,aiden.perez106@corp.example.com,+1-385-346-9557,male,1983-07-14,JOB0106,Finance,G04,EMP0339,Bengaluru,IN,active,full_time,2025-10-05,,29428.16,INR
EMP0107,E100107,Scarlett,Miller,scarlett.miller107@corp.example.com,+1-692-909-9145,non_binary,1985-01-30,JOB0107,Facilities,G06,EMP0329,Chicago,US,active,contract,2017-09-19,,121382.55,USD
EMP0108,E100108,Ethan,Jackson,ethan.jackson108@corp.example.com,+1-576-926-5765,non_binary,1968-10-02,JOB0108,HR,G10,EMP0204,San Francisco,US,active,intern,2014-12-15,,178430.68,USD
EMP0109,E100109,Mason,Silva,mason.silva109@corp.example.com,+1-243-651-5065,male,1975-02-21,JOB0109,Supply Chain,G11,EMP0175,Denver,US,on_leave,part_time,2019-08-16,,188487.11,USD
EMP0110,E100110,James,Williams,james.williams110@corp.example.com,+1-630-870-5594,male,1995-12-20,JOB0110,IT,G05,EMP0050,London,UK,active,contract,2024-06-12,,100850.77,GBP
EMP0111,E100111,Scarlett,Johnson,scarlett.johnson111@corp.example.com,+1-342-443-7647,non_binary,2000-09-28,JOB0111,Security,G04,EMP0184,London,UK,terminated,contract,2018-08-24,2024-11-23,89960.67,GBP
EMP0112,E100112,Nora,Jackson,nora.jackson112@corp.example.com,+1-560-693-8211,male,2001-01-25,JOB0112,Facilities,G03,EMP0496,Toronto,CA,retired,full_time,2019-07-02,,76138.11,USD
EMP0113,E100113,Aria,Harris,aria.harris113@corp.example.com,+1-381-827-8524,male,1997-08-07,JOB0113,Security,G12,EMP0520,Chicago,US,retired,contract,2019-03-18,,203638.59,USD
EMP0114,E100114,Ethan,Thomas,ethan.thomas114@corp.example.com,+1-653-935-7257,prefer_not_to_say,1984-09-18,JOB0114,Sales,G01,EMP0517,Austin,US,active,contract,2022-01-08,,60197.60,USD
EMP0115,E100115,Sebastian,Murphy,sebastian.murphy115@corp.example.com,+1-892-764-4938,prefer_not_to_say,1985-12-11,JOB0115,Sales,G12,EMP0386,Austin,US,active,intern,2022-06-25,,202635.16,USD
EMP0116,E100116,Evelyn,Anderson,evelyn.anderson116@corp.example.com,+1-466-311-3320,non_binary,1999-10-11,JOB0116,IT,G05,EMP0934,Hyderabad,IN,retired,intern,2020-02-28,,33863.60,INR
EMP0117,E100117,Ella,Thomas,ella.thomas117@corp.example.com,+1-829-274-8050,prefer_not_to_say,1977-02-23,JOB0117,Legal,G10,EMP0911,Dallas,US,on_leave,full_time,2015-10-13,,177689.81,USD
EMP0118,E100118,Ella,Lee,ella.lee118@corp.example.com,+1-590-609-9996,male,1978-04-04,JOB0118,Sales,G11,EMP0287,Chicago,US,retired,part_time,2019-03-19,,192483.37,USD
EMP0119,E100119,Sofia,Smith,sofia.smith119@corp.example.com,+1-499-301-3377,male,1965-08-30,JOB0119,Legal,G08,EMP0396,Bengaluru,IN,terminated,intern,2024-02-28,2024-10-02,46390.23,INR
EMP0120,E100120,Wei,Kim,wei.kim120@corp.example.com,+1-486-237-9219,male,1994-12-18,JOB0120,Facilities,G09,EMP0283,Seattle,US,on_leave,contract,2017-04-07,,166220.53,USD
EMP0121,E100121,Mateo,Silva,mateo.silva121@corp.example.com,+1-304-979-6481,female,1976-07-12,JOB0121,HR,G06,EMP0670,Toronto,CA,active,part_time,2022-06-28,,110667.42,USD
EMP0122,E100122,Abigail,Thomas,abigail.thomas122@corp.example.com,+1-225-389-7914,non_binary,1977-11-30,JOB0122,Finance,G06,EMP0919,Seattle,US,retired,part_time,2015-01-30,,120983.18,USD
EMP0123,E100123,Mateo,Clark,mateo.clark123@corp.example.com,+1-902-753-9711,male,2000-01-23,JOB0123,Legal,G11,EMP0640,New York,US,retired,intern,2024-07-03,,189609.53,USD
EMP0124,E100124,Evelyn,Taylor,evelyn.taylor124@corp.example.com,+1-755-549-4534,non_binary,1978-03-19,JOB0124,Sales,G01,EMP0025,Austin,US,active,full_time,2016-08-21,,61236.39,USD
EMP0125,E100125,Henry,Lopez,henry.lopez125@corp.example.com,+1-267-735-1165,non_binary,1967-11-02,JOB0125,Data,G09,EMP0783,Chicago,US,terminated,part_time,2016-03-22,2020-05-04,161792.27,USD
EMP0126,E100126,Alexander,Thompson,alexander.thompson126@corp.example.com,+1-796-699-7098,male,1980-03-23,JOB0126,Sales,G10,EMP0294,Seattle,US,on_leave,intern,2019-05-31,,179834.35,USD
EMP0127,E100127,Noah,Garcia,noah.garcia127@corp.example.com,+1-815-769-2602,prefer_not_to_say,1973-09-25,JOB0127,Security,G01,EMP0854,San Francisco,US,active,part_time,2024-03-13,,61187.72,USD
EMP0128,E100128,Lucas,Lopez,lucas.lopez128@corp.example.com,+1-768-957-5070,female,1978-07-05,JOB0128,Sales,G09,EMP0720,New York,US,active,part_time,2015-06-19,,166886.66,USD
EMP0129,E100129,Amelia,Lopez,amelia.lopez129@corp.example.com,+1-350-689-2131,male,1992-02-05,JOB0129,Security,G12,EMP0675,Bengaluru,IN,active,part_time,2018-06-06,,62676.92,INR
EMP0130,E100130,Zoey,Hernandez,zoey.hernandez130@corp.example.com,+1-370-696-7251,non_binary,2002-12-31,JOB0130,Operations,G08,EMP0596,Austin,US,terminated,full_time,2023-10-13,2024-05-13,149525.84,USD
EMP0131,E100131,Ava,Lee,ava.lee131@corp.example.com,+1-335-369-6424,prefer_not_to_say,1994-02-18,JOB0131,Data,G06,EMP0867,Atlanta,US,active,part_time,2021-12-16,,123919.32,USD
