case_id,customer_id,case_type,assigned_agent,opened_date,closed_date,status
CSE54A17C0F43,CUST100085185,Warranty Claim,Joseph Wilson PhD,2026-03-09,2026-04-13,Closed
CSE2C89F59E2A,CUST100024355,Fraud Investigation,Christina Thompson,2026-03-01,2026-03-26,Open
CSE2FC58CFF2C,CUST100094040,Warranty Claim,Laura Heath,2026-04-05,2026-04-11,Closed
CSEEC79D6ABAD,CUST100027461,Warranty Claim,Justin Carroll,2026-01-18,,Open
CSE612A111F0C,CUST100007134,Contract Dispute,Heather Evans,2026-02-15,2026-02-16,Closed
CSE7DB13344B6,CUST100052751,Escalated Complaint,Veronica Munoz,2026-07-14,,Closed
CSED067067004,CUST100014744,Escalated Complaint,Charles Mcgee,2026-03-25,2026-04-21,Pending Customer Response
CSEBA5EBCA827,CUST100036000,Escalated Complaint,Johnny Turner,2026-04-15,2026-05-04,Closed
CSE37DA4A6397,CUST100022170,Warranty Claim,Tyler Tucker,2026-06-16,,Closed
CSE1D3B71A970,CUST100001808,Fraud Investigation,Joel Rhodes,2026-07-20,2026-08-28,Open
CSE5C9B69724E,CUST100056473,Fraud Investigation,Dawn Rivera,2026-04-11,2026-05-12,Pending Customer Response
CSE98B70AD983,CUST100054120,Fraud Investigation,Lori Kline,2026-03-07,2026-03-15,Open
CSE5312D3A289,CUST100023245,Retention Save,Anthony Williams,2026-01-14,2026-02-09,Open
CSE71CB23D66B,CUST100050247,Retention Save,Savannah Powell,2026-01-20,,Pending Customer Response
CSE3FE806FCCE,CUST100019788,Retention Save,Chad Baker,2026-06-16,2026-07-19,Closed
CSEE0931E82AC,CUST100011828,Warranty Claim,Tammy Flowers,2026-06-15,2026-06-18,Closed
CSE16FA03CD78,CUST100067849,Warranty Claim,George Austin,2026-02-16,2026-03-27,Closed
CSEAFB7607B60,CUST100098584,Escalated Complaint,Lisa Perez,2026-02-10,2026-03-04,Closed
CSE926AEAA4B5,CUST100004826,Retention Save,Andrew Jones,2026-02-23,2026-03-14,Closed
CSECBC4285B4C,CUST100083457,Retention Save,Samantha Cain,2026-04-14,2026-05-19,Closed
CSE74E2F2E89E,CUST100097524,Warranty Claim,Kimberly Sanford,2026-04-05,2026-04-09,Closed
CSE406D7CB778,CUST100089867,Fraud Investigation,John Dorsey,2026-03-04,2026-03-13,Open
CSE2FE69C71C8,CUST100012047,Contract Dispute,Corey Davis,2026-07-16,,Closed
CSE430128220D,CUST100067937,Escalated Complaint,Valerie Moore,2026-07-15,2026-08-12,Pending Customer Response
CSE30624E197E,CUST100051355,Warranty Claim,Tiffany Ortiz,2026-07-04,2026-07-21,Closed
CSEF897738652,CUST100009738,Retention Save,Ariana Dixon,2026-05-20,2026-06-07,Closed
CSE5E28D585FA,CUST100005940,Fraud Investigation,Christopher Rodriguez,2026-01-29,,Closed
CSEFB1C9F175F,CUST100088151,Contract Dispute,Wendy Aguirre,2026-01-05,2026-02-02,Open
CSEFFD30AB52B,CUST100092053,Warranty Claim,Michelle Riley,2026-03-14,,Closed
CSE6BA84A0E02,CUST100010231,Fraud Investigation,Brandon Patterson,2026-01-01,2026-02-06,Closed
CSE756EA39A22,CUST100056519,Escalated Complaint,Kevin Nguyen,2026-05-26,,Closed
CSEA5C37CED81,CUST100039491,Warranty Claim,Scott Gonzalez,2026-05-17,2026-06-27,Closed
CSED660E10EB0,CUST100049133,Escalated Complaint,Jasmine Holden,2026-07-22,2026-07-27,Closed
CSEC71608CACB,CUST100010053,Fraud Investigation,Alexandra Cox,2026-03-07,2026-04-01,Closed
CSEFBF9DB6160,CUST100039244,Warranty Claim,Jeffery Price,2026-05-26,2026-06-18,Closed
CSE1CE44823CA,CUST100006899,Retention Save,Dennis Prince,2026-03-29,2026-04-25,Pending Customer Response
CSE7D28645414,CUST100002509,Contract Dispute,Richard Ramirez,2026-04-19,2026-05-27,Closed
CSE9F4154FBC0,CUST100065320,Fraud Investigation,Yolanda Carter,2026-02-15,2026-02-27,Open
CSE00CB50F845,CUST100074015,Contract Dispute,Raymond Lewis,2026-03-18,2026-05-01,Closed
CSEF0BF19C27D,CUST100071094,Escalated Complaint,Jimmy Martinez,2026-07-03,2026-07-14,Closed
CSE095C8EE0ED,CUST100074627,Fraud Investigation,Natalie Cohen,2026-01-30,2026-03-15,Closed
CSEA9269CC9E1,CUST100045948,Warranty Claim,Lisa Sanders,2026-02-23,2026-03-02,Closed
CSEF04C413333,CUST100028737,Warranty Claim,Kenneth Price,2026-05-06,2026-06-03,Closed
CSEC793C7963A,CUST100022032,Escalated Complaint,Jeremiah Martinez,2026-05-04,2026-05-14,Open
CSEF798BEA5C2,CUST100040806,Retention Save,Rodney Walker,2026-07-17,2026-08-28,Closed
CSE3177220C00,CUST100063633,Retention Save,Danielle Jimenez,2026-04-05,,Closed
CSE8138DEC5FD,CUST100015109,Contract Dispute,Jeffery Wade,2026-06-14,2026-07-05,Pending Customer Response
CSE2D04D8C2BF,CUST100008666,Retention Save,Zachary Hamilton,2026-04-10,2026-05-18,Open
CSE43921B6F76,CUST100016566,Escalated Complaint,Theresa Ray,2026-05-06,2026-05-17,Closed
CSED8730CF616,CUST100000013,Escalated Complaint,Daniel Duncan,2026-07-05,2026-07-14,Closed
CSEAF12CAB2F9,CUST100086616,Retention Save,Kimberly Johnson,2026-03-31,2026-04-23,Open
CSEBF73D2A7D4,CUST100021020,Retention Save,Andrew Gaines,2026-04-05,2026-04-13,Closed
CSE6370B96911,CUST100062237,Retention Save,Jeffrey Jackson,2026-03-19,2026-04-02,Closed
CSEBCDCDEBC52,CUST100037396,Warranty Claim,Dave Huffman,2026-07-22,2026-08-01,Closed
CSE858F6D043F,CUST100081743,Warranty Claim,Nicole Moore,2026-02-11,2026-03-05,Closed
CSE4D47E13D17,CUST100079842,Warranty Claim,Taylor Carter,2026-06-18,,Closed
CSE1A89C3A993,CUST100017825,Warranty Claim,Matthew Brown,2026-02-28,2026-04-12,Closed
CSEB663513B66,CUST100021831,Fraud Investigation,Jason Zuniga,2026-06-28,2026-08-10,Pending Customer Response
