cdr_id,customer_id,call_type,origin_number,destination_number,call_start_ts,duration_sec,tower_id,cell_id
CDRE005B5A95D03,CUST100010982,Voice Incoming,+16961070841,+17079978239,2026-07-01 16:09:28,85,TWR105593,5687
CDR36A08F44AF49,CUST100043432,Voice Outgoing,+10137222037,+14745209546,2026-07-03 15:50:29,2352,TWR104130,4972
CDR56BC10572D62,CUST100072729,Voice Outgoing,+10866473696,+16761402521,2026-06-15 08:12:24,703,TWR109041,7347
CDR77EADDCF3F53,CUST100028248,SMS Outgoing,+13258373198,+11371088000,2026-07-23 03:17:28,2959,TWR109224,8842
CDR9AEDCF6D15A2,CUST100014418,Voice Outgoing,+15633398642,+19813233944,2026-06-26 23:56:07,2675,TWR104999,8270
CDRCC5F61CC129A,CUST100017925,Voice Outgoing,+13200581389,+12655321909,2026-06-27 08:46:47,2844,TWR101008,9406
CDREB62E50369AB,CUST100005983,SMS Incoming,+13844816188,+13832666890,2026-07-04 18:00:54,732,TWR106353,3093
CDRBEA2DE6732FF,CUST100066365,SMS Incoming,+11002414280,+19024185714,2026-07-20 00:19:53,3181,TWR106758,1690
CDRDE9463BC6D23,CUST100008405,Voice Incoming,+13307302946,+19387507257,2026-06-03 17:12:29,1569,TWR107105,1224
CDR7E05217F738D,CUST100011370,SMS Incoming,+18748019547,+14137504916,2026-07-03 11:20:31,3515,TWR107638,8853
CDR9DA8A4B2A0AD,CUST100061676,Voice Incoming,+16281470498,+17581617160,2026-06-07 00:31:45,2453,TWR108879,5461
CDR0A32FCF35CF8,CUST100003169,SMS Incoming,+12700943486,+15286578579,2026-06-16 11:38:44,1786,TWR102590,2733
CDR859F325C9476,CUST100080309,Voice Incoming,+15088602131,+13130517552,2026-07-05 18:09:25,763,TWR108925,2563
CDRD3D66A416D1C,CUST100048146,Voice Outgoing,+16450745925,+19918455954,2026-06-03 17:36:38,993,TWR103803,2714
CDRFB641631443E,CUST100091616,Voice Outgoing,+18594380561,+17666337334,2026-07-23 09:12:31,2802,TWR100729,8683
CDR75A16361FDA4,CUST100062173,Voice Incoming,+15494598776,+16068738657,2026-06-21 15:39:44,464,TWR108876,4102
CDRCB57E980D738,CUST100082860,SMS Incoming,+19846069193,+13058685886,2026-06-28 13:00:04,3228,TWR100387,1591
CDR070B87AC69A6,CUST100049226,Voice Outgoing,+14915926404,+19750779107,2026-07-07 00:13:00,3416,TWR104427,2414
CDR2FF410BED892,CUST100030708,SMS Incoming,+13095513464,+17148748463,2026-07-16 00:33:56,984,TWR109912,7255
CDR65172BA7C706,CUST100007219,SMS Incoming,+17842362082,+12597709832,2026-06-01 21:38:11,3578,TWR105417,4722
CDR12BD2D961B0D,CUST100031838,Data Session,+16906475963,+12326252194,2026-07-16 23:18:09,1662,TWR107390,9758
CDRA49577068953,CUST100074740,SMS Incoming,+15225394613,+14717690254,2026-07-19 10:12:17,1897,TWR102751,7332
CDRE4D29E95CCAB,CUST100023795,Voice Incoming,+17121564596,+17418311561,2026-07-18 20:15:25,1214,TWR100182,7440
CDR302F228F319B,CUST100066637,Data Session,+11771990760,+11968304945,2026-07-14 04:56:09,48,TWR107659,8944
CDR676696F2F304,CUST100058461,Data Session,+19331972917,+18536877169,2026-07-10 15:27:05,1394,TWR101163,7675
CDRD290B196C473,CUST100011169,Voice Outgoing,+12844283878,+15247702608,2026-07-21 18:48:18,849,TWR106720,5559
CDRBD0F4D58B95B,CUST100017217,Voice Incoming,+19429441392,+10227827809,2026-07-20 15:49:18,1160,TWR106506,1463
CDRD6C27A76EC15,CUST100082327,Voice Incoming,+10133268617,+15392732595,2026-06-05 11:26:23,1482,TWR109939,9171
CDR65E7D876FE2E,CUST100042402,Data Session,+15622784976,+11458372812,2026-06-25 01:13:59,3287,TWR105548,8900
CDRFF85557374B0,CUST100027345,Voice Incoming,+14456284420,+11643935609,2026-06-01 13:41:35,3155,TWR106256,5095
CDRAA25C4B3C854,CUST100077107,Data Session,+10533339932,+17667635219,2026-06-14 02:35:36,2865,TWR101319,1792
CDR78ACE62B59D3,CUST100060141,Voice Incoming,+18812520360,+17951411292,2026-07-14 07:38:26,49,TWR105424,6271
CDRFC03B1630921,CUST100070608,Voice Outgoing,+17222825206,+11000195702,2026-07-20 16:12:04,3436,TWR106438,3382
CDR7A8140E2166F,CUST100076354,Voice Outgoing,+13768864150,+11406480345,2026-07-16 22:53:06,2617,TWR104854,8561
CDR1E798F988508,CUST100099138,Voice Outgoing,+16146130460,+13980409823,2026-07-01 04:51:55,302,TWR100844,2055
CDR850F40CE723A,CUST100004980,Voice Incoming,+11942710144,+17498919619,2026-07-07 03:20:53,441,TWR104580,2888
CDR4BFCEF51B9B2,CUST100007913,SMS Incoming,+12338897543,+18258808555,2026-07-12 01:02:21,3510,TWR105423,2660
CDR80B39AE1CDFD,CUST100017448,Voice Outgoing,+17084775862,+14530798753,2026-06-14 01:38:53,3044,TWR104599,9632
CDRF9FE8D988DA6,CUST100013637,Voice Incoming,+11694003778,+17053659162,2026-06-12 18:17:26,3323,TWR109345,4858
CDR5C341A539DB8,CUST100044395,Data Session,+15917406266,+15946747596,2026-07-07 15:24:32,3509,TWR102582,6507
CDRBEEEA593AD8A,CUST100064762,Voice Outgoing,+18934392260,+12517602649,2026-07-11 04:09:23,2576,TWR100502,7998
CDRBCDADA4F7C7A,CUST100008719,Voice Incoming,+19302196348,+14869147486,2026-07-09 08:57:29,3514,TWR101701,1228
CDR479CF4E579A2,CUST100094196,Voice Incoming,+19203326397,+11177221674,2026-07-09 13:19:31,2238,TWR102160,4124
CDR116FD92CF262,CUST100040105,Voice Incoming,+18476946018,+18108041321,2026-07-07 21:12:07,2756,TWR103673,4800
CDR3300967679E4,CUST100029007,Voice Outgoing,+13248584069,+12883574047,2026-06-19 22:52:01,3522,TWR109944,8929
CDR2E4F0207D5CF,CUST100078654,Voice Incoming,+18218412993,+11108930132,2026-07-13 10:51:10,3014,TWR102593,7507
CDR62A72D40B17E,CUST100096267,SMS Incoming,+12615982771,+10245089280,2026-07-12 17:04:55,1,TWR100115,9770
CDR2DEAF35B52D7,CUST100011481,Voice Outgoing,+16831332917,+19676072942,2026-06-18 14:23:03,410,TWR104678,4439
CDRA41EBBCEACCB,CUST100001866,Voice Outgoing,+18753541587,+10316708666,2026-07-07 20:22:58,979,TWR101617,5304
CDRAC4C7D40984F,CUST100090253,Data Session,+14062768842,+19397473853,2026-06-28 10:55:58,1819,TWR108141,7596
CDR0232E24509F0,CUST100045979,Voice Incoming,+15012561586,+12069334710,2026-06-28 04:18:46,820,TWR106588,4634
CDRD96687847769,CUST100085917,Data Session,+18198377175,+14757500123,2026-06-19 06:39:35,312,TWR107929,9272
CDR63DF4176F52F,CUST100031150,Voice Outgoing,+13179371175,+12921144752,2026-06-19 00:07:35,899,TWR105987,1652
CDR9A9D68D2CD7D,CUST100015447,Voice Outgoing,+11740166864,+16855789579,2026-07-10 06:35:13,1244,TWR100268,6399
CDRF239AE0E993C,CUST100044055,Voice Incoming,+18156419668,+11961264456,2026-07-16 13:20:36,1587,TWR107448,3510
CDR255A358C899D,CUST100085614,Voice Incoming,+11999868975,+15197267485,2026-06-22 10:33:08,2171,TWR102973,7003
CDR9BD033E8CB0E,CUST100054551,Voice Incoming,+15755141496,+18164384601,2026-07-04 17:27:52,2833,TWR103914,9146
CDREE31535396F9,CUST100099321,Voice Incoming,+13591074495,+16117467643,2026-07-16 22:47:29,80,TWR104737,8257
CDR4AD8B601E35B,CUST100050973,Voice Incoming,+17959591842,+18205311263,2026-07-18 00:53:09,3582,TWR100404,8864
CDRB73A82EDBC78,CUST100045404,SMS Outgoing,+18940714694,+12443590582,2026-06-18 19:29:07,285,TWR108267,9894
CDR421A6768C6A0,CUST100054826,SMS Outgoing,+17549640860,+12010546083,2026-06-25 13:34:28,401,TWR103379,2889
CDRE31CCA5E320E,CUST100097427,Voice Outgoing,+14114305019,+11390774371,2026-07-08 17:58:34,1059,TWR101143,7915
CDR44798D6B6595,CUST100086667,SMS Incoming,+16681875768,+12260407980,2026-06-09 15:27:13,3301,TWR102022,6936
CDR1B779D382F01,CUST100039367,Voice Outgoing,+12621583159,+14841856642,2026-06-13 06:13:39,2228,TWR109358,2929
CDREE1CAF39B06E,CUST100065449,Voice Incoming,+14613466600,+14049254770,2026-07-09 13:34:26,63,TWR100313,5396
CDREE07CF0FDA94,CUST100091762,Voice Incoming,+19133472338,+15554448455,2026-06-26 18:46:30,2113,TWR108567,4780
CDR2A54E019FC73,CUST100021539,SMS Outgoing,+10000602171,+12153014338,2026-06-16 20:33:35,1022,TWR103603,4441
CDR85179D379D53,CUST100030495,Voice Outgoing,+12965381510,+12012304385,2026-06-17 15:19:31,2566,TWR102140,4916
CDR537B2E919C71,CUST100006435,Voice Incoming,+16570380433,+16278139038,2026-07-05 08:18:13,3341,TWR103439,5652
CDRE7ED98CCA476,CUST100038164,Voice Incoming,+12006034074,+16066879546,2026-07-07 22:13:06,3124,TWR101810,8633
CDR7B791079C1E2,CUST100010510,Voice Outgoing,+12696517527,+13747121191,2026-07-02 07:52:47,185,TWR102535,7041
CDR971A4248BD29,CUST100079300,Voice Incoming,+10849660989,+16738707633,2026-06-07 14:50:20,2625,TWR108899,9984
CDR8AD4BDFD22EE,CUST100012909,Voice Incoming,+14405482021,+18477365854,2026-06-02 02:21:35,3213,TWR104289,2413
CDR029F46D8C31D,CUST100080736,SMS Incoming,+19072504240,+15692923197,2026-07-11 17:29:18,2617,TWR109072,3047
CDRE075D11942FA,CUST100022620,Voice Outgoing,+12601567312,+16460435871,2026-07-22 20:56:28,3333,TWR104784,2659
CDR1E3CF322705A,CUST100096081,Voice Incoming,+16582369130,+19609513550,2026-07-01 12:11:57,134,TWR107829,6147
CDR79F71B9A6C79,CUST100089415,Voice Outgoing,+11424421467,+10980036084,2026-06-15 08:53:57,1482,TWR108673,7211
CDRFD7210862FB7,CUST100071821,Voice Incoming,+12646810565,+18998955150,2026-06-24 11:15:20,3420,TWR108136,1778
CDRF73E747E4342,CUST100038081,Voice Outgoing,+18446749616,+14196991217,2026-06-27 00:11:23,1235,TWR107525,8454
CDR30EAA4DD0E3D,CUST100091507,Data Session,+16367087696,+11610012965,2026-06-18 21:41:15,3165,TWR107540,2864
CDR6A0A30CEDA9F,CUST100096560,SMS Incoming,+10277822218,+16883131566,2026-06-23 19:59:52,1219,TWR106641,8667
CDR273C4EF04236,CUST100058817,Voice Outgoing,+19905800472,+18645418728,2026-07-13 00:42:43,20,TWR104346,6387
CDR2295ED00AADB,CUST100064208,SMS Outgoing,+18080763350,+15546197651,2026-06-05 13:39:47,1412,TWR100543,3754
CDR2E3030FB2F87,CUST100051098,Data Session,+15830374300,+17906329737,2026-07-12 19:01:39,2000,TWR106386,5074
CDRF6285DD79721,CUST100075569,Voice Outgoing,+12072418075,+15689227047,2026-06-07 14:29:35,2437,TWR106934,3167
CDR34D1970578F3,CUST100006517,Voice Outgoing,+15476747158,+10830664660,2026-07-03 02:20:51,2060,TWR100620,2679
CDR932863AFA4FF,CUST100034734,Voice Outgoing,+14629180245,+10048044597,2026-06-19 19:50:15,1597,TWR108383,9219
CDR2358C4545D5C,CUST100048959,Voice Incoming,+17870933209,+18222120410,2026-07-15 21:17:50,2866,TWR104014,3143
CDR46F616147B83,CUST100083295,SMS Incoming,+15675856507,+12754869143,2026-07-02 13:08:37,878,TWR106294,9336
CDR4C172EC6F526,CUST100027954,Voice Incoming,+10306721920,+18718500671,2026-07-12 10:30:18,3307,TWR108367,6290
CDR8A68A978670A,CUST100009035,SMS Incoming,+18847511941,+11845441194,2026-07-07 19:12:27,2259,TWR105666,4730
CDR61D8D1933094,CUST100067770,Voice Outgoing,+16284396704,+15168940315,2026-07-15 02:39:37,2589,TWR102139,2229
CDR478D260946E4,CUST100058668,Voice Incoming,+10320660968,+19088861804,2026-06-22 17:39:31,1407,TWR108351,8312
CDRB5EB59979E2B,CUST100024616,Voice Outgoing,+12344969911,+12293333748,2026-07-03 19:07:22,2303,TWR108232,4064
CDRAD2EC78BE5DD,CUST100031904,Voice Outgoing,+13133565904,+11475469430,2026-06-03 10:09:05,779,TWR100973,3696
CDR9D49B31BFD43,CUST100000234,Voice Outgoing,+17786731938,+19234078113,2026-06-26 21:14:51,2680,TWR101046,6870
CDR68FAF38BCEF8,CUST100015274,Voice Incoming,+14101154104,+11646728918,2026-06-14 01:48:12,599,TWR104026,3474
CDR940776622BC6,CUST100021413,Voice Outgoing,+11429439663,+18381548194,2026-07-06 05:15:56,228,TWR105340,3069
CDR5C7725DD2056,CUST100002981,Voice Outgoing,+11281125844,+15550435605,2026-07-22 08:46:22,857,TWR100533,2740
CDR5B41638BBBAD,CUST100029389,Voice Outgoing,+13291923052,+19639073909,2026-06-11 08:24:09,698,TWR108235,4447
CDRC9D94AB7C0E6,CUST100004197,Voice Incoming,+11348132194,+11242471659,2026-06-19 08:08:40,572,TWR108104,3636
CDR878F5C6A20BF,CUST100088635,Voice Incoming,+14323769580,+16825275248,2026-07-15 22:44:55,179,TWR109209,5707
CDR77EAAFA6773C,CUST100039129,SMS Outgoing,+17723340717,+18713279330,2026-06-25 20:54:04,3499,TWR106759,3366
CDR011B9E464AC8,CUST100030725,Voice Incoming,+14079794508,+17460301292,2026-07-21 12:21:31,2023,TWR106947,2214
CDRF343701CD2B8,CUST100095787,Voice Outgoing,+16491755113,+10153327841,2026-06-01 11:12:00,1751,TWR109255,2934
CDRBC78A96C5D79,CUST100091158,SMS Outgoing,+15971924258,+16320903850,2026-07-20 19:09:41,2351,TWR101267,8911
CDR5385C2E15F14,CUST100087098,Voice Incoming,+14828764005,+14508666937,2026-07-02 15:43:14,3003,TWR109049,2022
CDRC116E1823ECB,CUST100042108,SMS Incoming,+13001918675,+16798596532,2026-07-16 00:49:37,1642,TWR100705,6929
CDREA2C25FA37AD,CUST100096870,Voice Outgoing,+16136341408,+14601418122,2026-07-01 20:45:59,2089,TWR106923,1562
CDRA338B40DE459,CUST100094664,Voice Incoming,+16601739347,+19159702606,2026-07-08 09:40:07,2733,TWR107764,7983
CDR5A8FA46BD024,CUST100001425,SMS Outgoing,+14114508749,+18119034858,2026-07-22 00:39:45,2746,TWR106315,1460
CDRC90C19513BA2,CUST100046247,SMS Outgoing,+15579452576,+12752647569,2026-06-30 12:21:35,752,TWR107044,1495
CDRDCB6DB0E9FA1,CUST100011888,Data Session,+12481891199,+12086284973,2026-07-20 17:28:46,594,TWR103852,6085
CDR95B124DF1655,CUST100085564,Data Session,+18685216735,+11321883065,2026-07-08 09:21:46,362,TWR108259,2776
CDRB41EAA0EF650,CUST100010299,SMS Outgoing,+12422145048,+10149517509,2026-06-29 15:03:37,2427,TWR102113,1713
CDRD6B8837DB44B,CUST100038350,SMS Outgoing,+16546158020,+19620094410,2026-07-22 08:41:49,3272,TWR103978,3701
CDRC9A29E947C39,CUST100037282,Voice Outgoing,+18774138175,+12461520473,2026-06-30 04:14:34,3224,TWR106977,8010
CDRD98A962FD6A3,CUST100029141,Voice Outgoing,+17532662033,+11631981535,2026-06-30 16:11:37,776,TWR108874,9701
CDRA027D17BCC98,CUST100035262,Voice Outgoing,+18822875517,+12646406370,2026-06-10 11:57:55,1759,TWR108530,3859
CDRB665CC1A7184,CUST100011707,SMS Outgoing,+16193193610,+13772060150,2026-06-11 03:20:29,2188,TWR104308,6955
CDRC827AC542A9F,CUST100077734,Voice Incoming,+16980053970,+17658881265,2026-07-19 02:55:33,2028,TWR107061,6304
CDRD7C9888685C6,CUST100099358,SMS Outgoing,+14838561503,+11290599057,2026-06-23 13:30:44,1585,TWR109571,8274
CDR29E2E1D0E5F6,CUST100016553,SMS Incoming,+17334979755,+18031162492,2026-07-05 17:14:58,3419,TWR103385,7821
CDR519EB84618B1,CUST100060688,SMS Outgoing,+16937426790,+12821912352,2026-06-21 02:40:22,1726,TWR103506,8983
CDR010DCEE52A2D,CUST100070738,Voice Outgoing,+14821349252,+11473629946,2026-06-18 14:24:21,967,TWR100334,2744
CDRBFFCEE9E488F,CUST100030834,Voice Incoming,+18457207811,+10459740520,2026-06-11 06:28:31,1694,TWR101234,4343
CDR26A527BFF6C5,CUST100011678,Voice Outgoing,+11697947857,+15535853040,2026-07-02 20:21:36,2630,TWR107444,5017
CDR84421F6A9099,CUST100067148,SMS Outgoing,+12898748963,+14488598645,2026-07-04 17:42:07,2055,TWR101491,8677
CDR618C4D3B47E9,CUST100007171,Data Session,+17174183019,+16956815151,2026-07-06 10:31:19,202,TWR107355,3663
CDR9A7A9A56E75E,CUST100099379,Voice Outgoing,+18665988563,+15272885706,2026-07-01 12:39:57,3426,TWR101032,6850
CDR23D293CB018F,CUST100083190,Voice Incoming,+15119292158,+14887316019,2026-07-14 17:01:23,1344,TWR103460,6903
CDRD4FD5CF93226,CUST100065480,Voice Outgoing,+13638698674,+19222982621,2026-06-06 01:25:38,1916,TWR103429,1468
CDR914775613AF0,CUST100063867,SMS Outgoing,+17218642407,+18910366953,2026-06-08 00:02:46,3563,TWR105829,1638
CDR79CEB75637BF,CUST100053420,SMS Outgoing,+11583838202,+10605325052,2026-06-14 01:44:10,310,TWR101214,6608
CDR5BB119045643,CUST100065768,Voice Outgoing,+17806650757,+18529723159,2026-07-20 16:06:14,2269,TWR103889,7592
CDR5EC5F59C19EA,CUST100029252,Voice Outgoing,+10947930205,+10224172591,2026-06-12 19:58:42,2181,TWR102019,3054
CDR9E4B20911224,CUST100083482,SMS Incoming,+10566670732,+13909454371,2026-06-29 02:24:25,83,TWR106844,4837
CDR93C9DDD0B23B,CUST100040306,Data Session,+13902961453,+15473993288,2026-06-24 07:35:40,1450,TWR100807,5048
CDR0DEF9F7753FC,CUST100053167,SMS Outgoing,+11847652317,+13811175601,2026-07-13 10:42:56,3030,TWR101410,1906
CDRBDD7D8EE2C10,CUST100034775,Voice Outgoing,+17243954900,+13825372476,2026-06-22 03:43:00,313,TWR109293,4749
CDR531CD4F8FA70,CUST100032008,Voice Outgoing,+19238865803,+10015657285,2026-06-02 05:04:08,1556,TWR100435,5019
CDR4EAB76FC5C5D,CUST100021743,SMS Outgoing,+19906204672,+16159455261,2026-07-15 16:53:02,585,TWR109071,2012
CDR5770579481F1,CUST100090134,Voice Incoming,+13844933850,+15078764950,2026-07-11 07:11:37,1962,TWR104433,5319
CDR4B208D07B522,CUST100007083,Voice Incoming,+14521889674,+19331649762,2026-07-07 09:12:20,534,TWR102028,8874
CDR370C2A5C8793,CUST100008028,Voice Outgoing,+11728959725,+14173849584,2026-06-01 00:58:06,3302,TWR106893,4523
CDR7061FBFBF61F,CUST100004669,Voice Incoming,+17789040571,+13259909925,2026-06-18 08:03:21,1046,TWR104537,7088
CDR855F814464E7,CUST100043180,SMS Incoming,+11392663297,+13056657524,2026-07-10 20:03:52,1042,TWR106080,8471
CDREBC6B448111A,CUST100085724,Voice Outgoing,+11414130823,+16817205186,2026-07-11 10:32:08,970,TWR101570,7583
CDR28ABE582A027,CUST100095652,Voice Incoming,+12813693136,+11858356044,2026-06-26 02:25:25,2499,TWR106554,3358
CDR96EC1EB43D15,CUST100074746,Voice Outgoing,+11397654433,+13859062665,2026-07-13 14:56:54,1825,TWR101584,3455
CDR7FC86C640A69,CUST100085979,SMS Incoming,+12681788561,+10160003898,2026-06-15 10:30:42,1274,TWR109306,1794
CDRA1C027F20D56,CUST100037095,Voice Incoming,+13256066330,+12194819644,2026-07-14 04:39:07,2066,TWR105930,7432
CDR6FCDE875AE7E,CUST100030918,SMS Incoming,+12095307204,+14525630353,2026-07-17 00:04:16,3484,TWR108114,5024
CDRE7410CBFC2A5,CUST100055957,Voice Outgoing,+19845929789,+13076089887,2026-06-20 02:16:54,2813,TWR103806,5830
CDR3EA41F05B57D,CUST100043532,Voice Outgoing,+19474441436,+11924432997,2026-06-26 07:23:31,482,TWR108739,2841
CDRD50C9959E366,CUST100070481,SMS Outgoing,+13875406889,+10729338727,2026-06-04 08:06:53,33,TWR105691,7201
CDR137F859C0F60,CUST100076445,SMS Outgoing,+13562645467,+12687260102,2026-07-19 12:08:23,89,TWR101889,3796
CDR331046D567DE,CUST100012137,Voice Incoming,+16241404613,+10278344037,2026-06-22 04:49:46,2843,TWR106808,5974
CDR5E948D6D8F32,CUST100034938,Voice Incoming,+15635306257,+18930738991,2026-06-25 09:40:53,1590,TWR100641,8221
CDR8F669111C615,CUST100047071,Voice Outgoing,+11199732852,+17942180690,2026-06-05 17:13:19,1569,TWR105251,8023
CDRB4C5FE56EBF8,CUST100017347,Voice Outgoing,+12502180444,+16386607952,2026-06-12 21:49:38,1615,TWR104133,1225
CDR7DF14A194D09,CUST100019639,Data Session,+11979456072,+10213763782,2026-06-07 11:41:39,489,TWR101634,4398
CDR5324A1377F3B,CUST100027657,Voice Outgoing,+17406271905,+19564842351,2026-06-01 18:45:38,325,TWR100815,6583
CDR17ABF16BE8D8,CUST100063273,Voice Outgoing,+12917809526,+15757911118,2026-07-11 02:57:04,2047,TWR105855,7114
CDR6F7B130E17CE,CUST100020973,Voice Incoming,+17018114095,+17140839445,2026-06-03 21:13:23,2111,TWR104043,5272
CDRB2CA91DFCFAE,CUST100038710,SMS Outgoing,+17304011138,+11557279485,2026-07-18 18:26:03,892,TWR103921,4032
CDRF5433A98FAC1,CUST100023760,SMS Incoming,+13847332887,+12414310255,2026-07-21 11:20:00,1838,TWR102945,2086
CDR05FD0A28AA35,CUST100093960,Voice Outgoing,+16347186298,+15074333868,2026-07-20 06:03:53,2646,TWR108309,6847
CDR0D2809999631,CUST100029549,Voice Outgoing,+17650396874,+19099808288,2026-07-02 12:41:13,3347,TWR108650,1147
CDR888F2F558ABB,CUST100085411,Data Session,+12480707693,+18431744570,2026-06-23 11:08:48,1842,TWR103703,3517
CDREC69D448D08B,CUST100026596,SMS Incoming,+17392758561,+11909358846,2026-06-05 22:05:09,3163,TWR106763,9055
CDRBEB0FCDFF3F8,CUST100033300,Voice Incoming,+10543115614,+13647980392,2026-07-04 14:56:26,68,TWR102885,5432
CDR4FB9AAFFD0C9,CUST100016690,Voice Incoming,+12193792643,+18383454529,2026-07-18 09:16:16,567,TWR109013,9005
CDRB11C658D4191,CUST100069844,Voice Incoming,+10922407808,+16620184933,2026-06-27 18:45:31,438,TWR103965,6950
CDR9DE3FB2E3528,CUST100098876,Voice Outgoing,+17464482889,+17570171713,2026-06-02 04:09:43,2567,TWR105170,8189
CDR57BEA78B8670,CUST100036247,SMS Incoming,+17231115881,+19354359660,2026-06-21 18:48:32,1649,TWR106057,2418
CDR6DBA97E32335,CUST100056503,Voice Outgoing,+12199774623,+17182493370,2026-07-12 23:04:49,3078,TWR109310,6379
CDREF30BA725DE6,CUST100034666,Voice Incoming,+12429346598,+13672707421,2026-06-14 00:13:30,2170,TWR109748,4153
CDR27A30072B488,CUST100086044,SMS Outgoing,+18397733726,+14749538009,2026-07-10 17:16:40,3299,TWR104426,6322
CDRB1449600E4F0,CUST100033951,Voice Incoming,+11315456230,+19984271459,2026-07-02 13:10:42,2025,TWR108455,4432
CDR14186B4CE272,CUST100033984,Voice Outgoing,+16023280696,+13493932465,2026-06-02 19:03:06,2894,TWR107460,3467
CDR322080C74D93,CUST100032359,Voice Incoming,+14694456394,+14199179319,2026-07-05 10:15:20,768,TWR102097,1413
CDRD4DDC770BFDB,CUST100051989,Voice Outgoing,+14314194045,+10791157185,2026-06-08 10:15:18,3538,TWR107042,7059
CDRC02874EF0D74,CUST100042373,Voice Outgoing,+15445412139,+12383161453,2026-06-18 20:06:31,2869,TWR100866,5487
CDR67F7E90F7975,CUST100068046,Voice Incoming,+12408660092,+19135285609,2026-06-18 22:22:25,2190,TWR101599,1476
CDRA7944587FFDC,CUST100072317,Voice Incoming,+16613949265,+16217725671,2026-06-23 11:13:51,2557,TWR102087,5686
CDR7D19EC705E20,CUST100057482,Voice Outgoing,+13288326013,+18415494077,2026-06-05 01:55:29,619,TWR107429,7509
CDRCA8218F1E232,CUST100076594,SMS Incoming,+15052900921,+13439723403,2026-06-05 16:10:11,2153,TWR107798,9454
CDR4D317EA8E831,CUST100072377,Voice Incoming,+17121326123,+13886027613,2026-07-16 15:16:05,916,TWR100223,6579
CDR471C2FFADA72,CUST100046163,Data Session,+14650274410,+12102741554,2026-06-16 10:13:46,1199,TWR108365,2492
CDRBC0BEE921E9F,CUST100093103,Data Session,+18570595798,+11004167295,2026-06-28 12:29:23,257,TWR101859,4928
CDR54079D0E7D8F,CUST100098341,Voice Incoming,+13431842983,+19490232322,2026-06-09 09:12:43,3228,TWR108919,2928
