sim_id,customer_id,sim_type,iccid,msisdn,activation_date,status
SIM74B37E0439,CUST100098671,eSIM,8917727610422429602,+17330150816,2020-03-23,Active
SIM6A62723CE6,CUST100061839,Physical SIM,8945376239006260278,+15094826170,2024-05-25,Active
SIM99A4259E51,CUST100098419,Physical SIM,8950238148547526981,+10372783854,2020-08-20,Swapped
SIM98CC4733C4,CUST100057841,Physical SIM,8940700472884934074,+14250100166,2024-09-30,Active
SIM3B8A1C0E4F,CUST100092908,Physical SIM,8940389714243286469,+15350636353,2015-04-05,Suspended
SIM8C3757CFB8,CUST100074849,Physical SIM,8952896836597828210,+12178142278,2018-11-13,Active
SIM6418C193F7,CUST100032361,Physical SIM,8950142451353626223,+11287028636,2016-05-10,Active
SIMD6A0484AC8,CUST100060683,Physical SIM,8931572361394872904,+17803867457,2026-06-04,Active
SIM7B87FF5EEA,CUST100096976,Physical SIM,8976489325184123604,+13237717263,2025-09-30,Suspended
SIM49ADBDCECF,CUST100066062,eSIM,8975420450766182592,+16700595789,2021-06-24,Deactivated
SIM728E34DB09,CUST100032317,Physical SIM,8936419653048205457,+10424065083,2017-01-15,Active
SIMD55055D0FF,CUST100050772,Physical SIM,8938899420372070644,+15599810121,2023-06-04,Active
SIM6BE6218951,CUST100048189,eSIM,8912274293782385448,+11592079561,2025-05-23,Active
SIM724970F152,CUST100098608,eSIM,8950191023022086033,+12658581781,2021-02-17,Suspended
SIM6AF5D3C6B6,CUST100059484,Physical SIM,8956331633272065755,+16814852030,2023-08-27,Active
SIM2E8960D80A,CUST100079324,Physical SIM,8925052185873525645,+13115294030,2022-04-21,Active
SIMAD527DFD57,CUST100076665,eSIM,8921530935537873929,+14237572201,2023-03-08,Swapped
SIM391FC4EF4E,CUST100002042,Physical SIM,8992497257955186932,+14832283621,2020-11-29,Active
SIMBAFD0B42C3,CUST100086869,Physical SIM,8954822332106360845,+19344257075,2015-08-24,Deactivated
SIMC54D4AE320,CUST100010235,Physical SIM,8946784052289842050,+16326952913,2019-04-07,Active
SIM8769F8EEE5,CUST100092841,Physical SIM,8964856459305927448,+19397236301,2020-02-20,Swapped
SIM6F4708B592,CUST100024796,Physical SIM,8957350798083513482,+11148927849,2017-04-29,Active
SIMDB91D68CC6,CUST100053546,Physical SIM,8970104864181410822,+13849407318,2018-03-12,Swapped
SIM66BCBF8A52,CUST100060953,eSIM,8916799382008416488,+16368185735,2024-02-11,Active
SIM27FAC41F1B,CUST100076425,Physical SIM,8955018840324298388,+16512278435,2021-03-09,Active
SIMC59DF48D0E,CUST100059787,Physical SIM,8913420258458862465,+15945460689,2024-06-27,Active
SIMC45F773C0A,CUST100085200,Physical SIM,8962448107109840280,+19893909347,2022-09-10,Active
SIM06D029D17A,CUST100064437,eSIM,8982806808017845263,+19506503910,2022-07-08,Active
SIMDF08E4F112,CUST100057237,Physical SIM,8965915583420572080,+18707392020,2019-04-28,Active
SIM91869D50A0,CUST100049712,eSIM,8941948279833504280,+13633042056,2026-02-14,Suspended
SIM04E29A300C,CUST100063886,Physical SIM,8986976939902076923,+16047864540,2019-01-08,Active
SIMF67988C6C9,CUST100002724,eSIM,8902351055954287913,+10568151746,2024-07-31,Deactivated
SIMA8DE4431AD,CUST100071457,eSIM,8971353479268867176,+13170002855,2022-07-14,Active
SIMB078288690,CUST100051537,Physical SIM,8939746680115063604,+18935362128,2018-10-16,Active
SIMF9971D6D40,CUST100079699,Physical SIM,8961267309920915970,+12346834269,2024-01-05,Active
SIMD7541423F5,CUST100088915,Physical SIM,8915560066871072973,+16841233256,2022-05-21,Active
SIM5CE1B81A2D,CUST100013222,Physical SIM,8969473316438758934,+15855774669,2015-05-20,Active
SIMC9241A0A53,CUST100051549,eSIM,8920150066216912857,+12981438795,2024-10-01,Active
SIM8979F59734,CUST100092353,Physical SIM,8907674306087757162,+16921801891,2018-11-12,Active
SIM3C54A93A9C,CUST100067135,Physical SIM,8926865865254086125,+19177055268,2015-04-21,Active
SIM6C92A825D6,CUST100018754,eSIM,8935731862960950402,+16429666738,2021-10-20,Active
SIM922C5420C6,CUST100073194,eSIM,8928502084835687862,+18567805890,2022-04-10,Active
SIM447DCD1FEE,CUST100044371,Physical SIM,8961152300629283112,+17237618601,2017-03-16,Active
SIMDF951FDCF3,CUST100048604,Physical SIM,8947688732099266686,+11955124950,2015-07-03,Deactivated
SIMDAE3A7EE87,CUST100067008,Physical SIM,8912868930739423771,+17110494580,2020-11-05,Active
SIMA3087C7944,CUST100025311,Physical SIM,8900156290747001322,+13700777569,2015-09-28,Active
SIMD1BCA98582,CUST100015449,Physical SIM,8964684365753206151,+15378558530,2018-12-26,Active
SIMC54BD2DBAD,CUST100016201,Physical SIM,8915543373340031872,+19065469683,2020-10-06,Active
SIMB5C21C411C,CUST100024020,Physical SIM,8917545575032876860,+17301468677,2023-10-06,Swapped
SIM3879ECF885,CUST100009904,Physical SIM,8921833764598000670,+19147423702,2020-08-12,Active
SIMEF0BB4E9A8,CUST100084317,eSIM,8937697852058964671,+18401774712,2021-05-14,Active
SIM1569B32009,CUST100064737,Physical SIM,8963677349296764259,+16392242685,2025-12-19,Active
SIM05191905C0,CUST100043968,Physical SIM,8987961988311428788,+16017106197,2015-09-28,Active
SIM4D271E15B8,CUST100023094,Physical SIM,8900454624860479063,+16800589989,2016-06-14,Active
SIM3DEE87AC00,CUST100094100,Physical SIM,8951966095391974230,+18635593453,2018-07-04,Active
SIM64C8BEBF46,CUST100021464,Physical SIM,8913449647469492728,+19504160691,2023-05-11,Active
SIM3A3D3AAD4A,CUST100031819,Physical SIM,8994893769474385169,+11194393155,2016-06-12,Active
SIM46CA1C6CAD,CUST100019590,eSIM,8937203124687807542,+16280293179,2015-05-09,Active
SIMC03945CC7D,CUST100088081,Physical SIM,8987253601938376724,+19380472944,2015-07-10,Active
SIM1094D8888E,CUST100020066,Physical SIM,8902836652438274808,+14706840977,2015-07-26,Active
SIM0ABA618EC8,CUST100073141,Physical SIM,8900761667506724541,+14078872637,2021-11-23,Active
SIMF87B9C8C98,CUST100092000,eSIM,8904646963462527093,+11733423957,2024-05-14,Active
SIM2B155E79D3,CUST100040455,eSIM,8972117587238703628,+10328116543,2016-11-21,Active
SIM736CF1561F,CUST100089755,eSIM,8990795825214072396,+16321277416,2022-03-13,Active
SIMCE511F076B,CUST100087942,Physical SIM,8922306587385235877,+17395085842,2021-02-16,Active
SIM8E39A51772,CUST100060351,Physical SIM,8987785765597987452,+13711232709,2021-01-19,Active
SIME0F0B1E089,CUST100056283,eSIM,8989595863505498659,+10426883694,2019-09-12,Active
SIMC3319E369F,CUST100003869,Physical SIM,8925480764921175195,+17177139137,2015-02-01,Suspended
SIMB39B6C6C3B,CUST100030148,eSIM,8931439668117483188,+15378863551,2018-09-18,Active
SIMFD9954EC97,CUST100096634,eSIM,8947631050531518401,+19368715161,2021-03-11,Active
SIM39CDD42DF6,CUST100058698,Physical SIM,8983190698383845134,+18512822213,2016-09-29,Active
SIMFF72604790,CUST100092588,Physical SIM,8914921472809856659,+15723237859,2022-05-17,Active
SIM31F4A3C9EE,CUST100039428,eSIM,8917645494891760966,+13831572766,2024-12-04,Active
SIMDCFB4FC875,CUST100069451,Physical SIM,8912471966192451679,+17665803911,2016-02-06,Active
SIMB6E2571FF5,CUST100053285,eSIM,8905322860161345021,+15045400456,2016-07-22,Active
SIM7DFADF4955,CUST100097913,Physical SIM,8991325985435921244,+13087407677,2026-03-15,Active
SIM9AC62A0EAD,CUST100019155,eSIM,8977901861432705330,+11101957594,2022-06-29,Active
SIM583701FACD,CUST100002434,Physical SIM,8987816839169085961,+10154610532,2017-05-30,Active
SIM423CDBEB86,CUST100064463,Physical SIM,8960153464332094653,+18058931616,2024-06-03,Active
SIM4D4E0A1E05,CUST100061103,Physical SIM,8963200500276349256,+19191249134,2024-11-15,Active
SIMECCEBD31A0,CUST100003508,Physical SIM,8979968463735317209,+18157655573,2025-05-11,Active
SIM268A48C014,CUST100028816,eSIM,8981832447584681805,+15903814505,2015-07-02,Suspended
SIM97A244663A,CUST100027855,Physical SIM,8996982542994171368,+12156676947,2025-09-13,Active
SIME7BCF1FADF,CUST100013312,eSIM,8934022082741477178,+11205811678,2022-04-03,Active
SIM22000EA341,CUST100042583,eSIM,8971320445089080178,+15603520378,2019-04-25,Active
SIM1F6AB5158F,CUST100003323,Physical SIM,8944652805351303055,+17099111814,2015-04-29,Active
SIM7FF43F5AFB,CUST100094281,Physical SIM,8917901558394073816,+15697806337,2023-11-26,Active
SIM2EC74C93CD,CUST100001925,eSIM,8999481369183478501,+15469971478,2025-07-30,Active
SIMA06D45C4D3,CUST100094382,eSIM,8973257734465641000,+11811808903,2021-08-07,Active
SIM2D57210DED,CUST100067920,Physical SIM,8907990781339785539,+19207632068,2024-03-17,Active
SIM12B83D942C,CUST100005029,Physical SIM,8910685990177268790,+10909618975,2026-01-07,Active
SIM1CC8D83F86,CUST100058715,Physical SIM,8928264626369489958,+12365959057,2019-02-18,Active
SIM7784846540,CUST100008111,Physical SIM,8922921675969558216,+19505603460,2022-09-09,Active
SIM32C1BAD43C,CUST100034423,Physical SIM,8949850442907982660,+10001668929,2017-09-28,Active
SIM300B30EE9F,CUST100004477,Physical SIM,8987772474297866097,+11305987470,2026-01-02,Active
SIMCD450BCD57,CUST100093706,Physical SIM,8973891105925106396,+11596938001,2015-03-05,Active
SIME2D9697A34,CUST100068112,Physical SIM,8927870473594971146,+15618544927,2016-11-27,Active
SIM1F25A4559C,CUST100036268,eSIM,8978264930358262580,+18117866029,2021-07-12,Active
SIM8EBFD9C0D9,CUST100062720,Physical SIM,8988126601752361940,+11057061822,2015-11-22,Active
SIM33A54A6B87,CUST100000738,eSIM,8935571135919564998,+10571503813,2015-07-24,Active
SIM4CB029BBC2,CUST100082668,Physical SIM,8970317643778194435,+16202130208,2023-09-28,Deactivated
SIM793720BD30,CUST100034431,eSIM,8906232657602241422,+13838579613,2017-03-13,Deactivated
SIM38F0BF0B11,CUST100096917,eSIM,8957459745579750963,+18418529181,2018-11-17,Suspended
SIM850FBA8429,CUST100082182,Physical SIM,8960403356626241300,+11539630868,2024-12-27,Swapped
SIMC6447C7EE1,CUST100067457,Physical SIM,8988115443685271800,+16722824638,2021-12-21,Active
SIMC337428595,CUST100062102,Physical SIM,8912095606146198608,+13708609773,2018-05-05,Active
SIMBA46EE3284,CUST100004203,Physical SIM,8983420204377406312,+18028821349,2026-01-11,Active
SIME44613C724,CUST100028508,Physical SIM,8901398321410340136,+15803371548,2026-03-27,Active
SIMDE9DE25190,CUST100047151,Physical SIM,8930498300789171361,+11901853473,2019-05-22,Suspended
SIMBA53E71878,CUST100090868,Physical SIM,8970577181429857432,+14040660884,2017-01-11,Active
SIMA98E7F0E5E,CUST100048531,eSIM,8939321891757853319,+18054385175,2022-04-07,Active
SIMB74E1FDC8B,CUST100029405,Physical SIM,8967269466064265365,+13919184974,2021-08-28,Suspended
SIM4D57CB79CF,CUST100066028,eSIM,8952901205902087922,+12818411373,2023-06-27,Deactivated
SIMFB37C6E784,CUST100052921,eSIM,8974339837581080969,+13841781724,2022-07-29,Active
SIM69E5E50ADB,CUST100005253,eSIM,8949780184805417133,+10407612331,2018-02-04,Active
SIM04E86353E1,CUST100097493,Physical SIM,8949956428030892964,+11923471665,2016-05-29,Active
SIMCF391977C9,CUST100029882,Physical SIM,8947515614633927926,+11724322089,2026-04-30,Active
SIMA5D06AC95F,CUST100004087,Physical SIM,8962726624881305185,+18426155762,2020-02-02,Active
SIM9C82017280,CUST100062019,Physical SIM,8948919241033637125,+16565652413,2025-10-02,Active
SIM3753C918B3,CUST100063623,eSIM,8964800935248840588,+12948898057,2018-02-08,Active
SIM9C52BB3554,CUST100086219,Physical SIM,8945144128961869835,+19900888586,2019-01-05,Active
SIM01739FE4D2,CUST100010136,Physical SIM,8969587997201052330,+15594722539,2025-02-10,Active
SIMF363778D1A,CUST100079186,Physical SIM,8955598917565903648,+13748818917,2022-01-31,Active
SIMBB90FE2DDB,CUST100078054,Physical SIM,8914561472172834605,+14979297949,2020-07-27,Deactivated
SIMDF1DEC4892,CUST100029166,Physical SIM,8944255203473002137,+16683420604,2020-08-11,Deactivated
SIM3F24AC7B38,CUST100078264,eSIM,8917938487438748797,+12178180391,2024-02-21,Suspended
SIMEFD32B2FF0,CUST100024141,eSIM,8983666432592259937,+17024362076,2021-10-01,Active
SIMFC741B198E,CUST100072465,Physical SIM,8978783985144884267,+19025909758,2015-04-28,Active
SIM590D39566B,CUST100025332,eSIM,8941374326400811375,+13968527663,2024-07-20,Active
SIM8300182664,CUST100049738,Physical SIM,8958250764586094164,+10805958214,2025-03-11,Active
SIM9D1A492003,CUST100093667,Physical SIM,8983789573702503312,+19929693008,2021-04-14,Active
SIMEA7D8F31D6,CUST100000011,eSIM,8937053342893714859,+12839743357,2019-08-16,Active
SIM4A85AEA6AC,CUST100094091,Physical SIM,8950296210414575934,+15332324261,2016-11-06,Active
SIMBA89AC489D,CUST100036535,eSIM,8918513869408452367,+15311771706,2021-02-05,Active
SIM29AB4D6736,CUST100030283,eSIM,8929505425917356478,+15387258175,2020-03-02,Active
SIM77E9E1E142,CUST100041817,Physical SIM,8902050919365546742,+12252841681,2025-06-15,Active
SIM4FC52CD7FF,CUST100063324,Physical SIM,8922479326683243062,+14897577222,2023-08-01,Active
SIMADA59D798E,CUST100047959,eSIM,8958167184338360526,+13492795144,2023-11-09,Active
SIMB77384ED82,CUST100089594,Physical SIM,8983520094900668115,+14611745201,2021-06-27,Active
SIMEAD9A1BD84,CUST100006712,Physical SIM,8956466483945159279,+13980969525,2019-10-25,Active
SIMC90E0C11BD,CUST100044378,eSIM,8936879740064689308,+16070782616,2025-02-18,Deactivated
SIM62F2C3F2F0,CUST100049430,Physical SIM,8937279180013606799,+10232407875,2017-10-20,Active
SIM300EC8E841,CUST100047042,Physical SIM,8901290558956630651,+18229756669,2016-01-10,Suspended
SIM4AB47C027C,CUST100067687,eSIM,8973779416360686004,+13170369341,2024-07-30,Active
SIM1A0C93FF5B,CUST100001244,eSIM,8991561954388350189,+14014948980,2020-06-16,Active
SIM01486731CE,CUST100000407,Physical SIM,8907318006482715808,+14546811291,2022-02-12,Active
SIM9298AB6F65,CUST100008365,Physical SIM,8918676251742213031,+10372774461,2015-10-02,Active
SIM6A614AD8EB,CUST100046478,Physical SIM,8974977092477581137,+15033177527,2018-01-05,Active
SIM942BB75CA6,CUST100052508,Physical SIM,8910025208798356642,+16588466933,2021-12-27,Swapped
SIM80963C9976,CUST100074538,Physical SIM,8975705938211990918,+18312393416,2017-03-29,Deactivated
SIMADE0D8E7A1,CUST100022849,Physical SIM,8930791479563216213,+15840159830,2022-05-25,Active
SIM9B28CFE68C,CUST100043230,eSIM,8906115378462810498,+13373382676,2018-03-15,Deactivated
SIMDE74F1F7E5,CUST100053929,eSIM,8912509611621502703,+14808261483,2019-12-09,Deactivated
SIM18F1340ED7,CUST100006470,eSIM,8965264673503918623,+12315519983,2025-11-07,Deactivated
SIMFA2E3AC9D9,CUST100003996,Physical SIM,8962582157168768894,+17225731715,2023-09-22,Active
SIM1A7A2A9F8E,CUST100013655,eSIM,8955653967207463092,+13765456710,2022-08-04,Active
SIM08795630C7,CUST100036687,Physical SIM,8984932686968300493,+13033927166,2025-06-17,Active
SIM6FFA947251,CUST100083243,Physical SIM,8962312622960143749,+10756189119,2020-09-18,Active
SIMCB6206D399,CUST100054461,eSIM,8943136009117120900,+10121098643,2026-03-06,Deactivated
SIM33C82787D1,CUST100056282,eSIM,8953150024562510134,+15928137362,2016-09-26,Active
SIMF275EB827C,CUST100087824,eSIM,8913106785075877136,+10372635198,2018-08-15,Deactivated
SIM61BB133080,CUST100050007,Physical SIM,8999742666355756881,+10946692274,2015-08-21,Active
SIM1DD0D08A98,CUST100010254,eSIM,8935286022331087280,+19382211086,2017-04-26,Active
SIMAC483538D7,CUST100008069,Physical SIM,8960083002362359430,+12600396064,2018-09-06,Active
SIMC302C91E8C,CUST100088414,Physical SIM,8966340692662929599,+19878021345,2026-04-18,Deactivated
SIM73229AE2F2,CUST100018409,Physical SIM,8921137363638093347,+10354280065,2015-01-14,Suspended
SIM2E7B06DB61,CUST100005860,eSIM,8951850164519723803,+10234726237,2017-05-27,Active
SIM98F219B681,CUST100033270,eSIM,8912243736775883168,+13790633673,2022-09-10,Deactivated
SIM7CF5F29C4F,CUST100001423,Physical SIM,8925514103756636372,+17576069856,2026-04-29,Active
SIM98A6079926,CUST100086772,Physical SIM,8958997004876627179,+18475212013,2021-12-05,Active
SIM027725B67A,CUST100012235,Physical SIM,8978548045907616906,+17118156036,2021-09-06,Active
SIM0DB60EB2BD,CUST100069123,Physical SIM,8944987999981484732,+18579343487,2015-09-22,Active
SIM7BD8DD3C54,CUST100013663,Physical SIM,8950802413043968372,+19315585246,2023-01-25,Active
SIM953B366724,CUST100056539,eSIM,8900768416548600061,+14030389842,2023-11-20,Deactivated
SIM37FB84C6A9,CUST100098254,Physical SIM,8984047429776540122,+10176631484,2018-08-05,Active
SIM505FDC05CB,CUST100082876,Physical SIM,8971283664187764816,+16558815620,2018-11-20,Active
SIM97CD698A73,CUST100032703,Physical SIM,8939482331077076995,+10024540715,2017-06-09,Active
SIM1014F98221,CUST100071895,Physical SIM,8968473738821154155,+13010260183,2021-09-21,Active
SIMA39C823273,CUST100015789,Physical SIM,8993577194460179643,+18217875796,2021-10-25,Active
SIMB361160CD0,CUST100028991,Physical SIM,8954628509224974858,+14947663734,2019-02-17,Deactivated
SIM9B6C6C33B1,CUST100091586,Physical SIM,8968766221969719243,+12927413148,2025-03-18,Active
SIM1691CCE28A,CUST100030394,eSIM,8919625528946219306,+14874539745,2022-12-11,Active
SIMD53DA1ABA9,CUST100048169,Physical SIM,8916780721414958543,+16502681158,2023-05-05,Active
SIME1BC6A164F,CUST100081168,Physical SIM,8960262560289055070,+11907283986,2024-12-28,Active
SIM8C0C39375E,CUST100062931,eSIM,8974749406225215459,+13572581192,2024-08-10,Active
SIMEA4CC7B201,CUST100088003,Physical SIM,8950403838946276676,+16258942803,2026-01-17,Active
SIM1C797E1CED,CUST100029964,Physical SIM,8931316043282637685,+11989972409,2026-04-21,Suspended
SIM1A4208EC1B,CUST100056192,Physical SIM,8992689258702040293,+17354497527,2021-08-11,Deactivated
SIMDABAAE2E16,CUST100070521,Physical SIM,8937563276208624305,+13302984113,2023-07-17,Active
SIMBA24EBC1E0,CUST100075160,eSIM,8909517903537905408,+16676173013,2021-10-02,Active
SIMECB1DAFB05,CUST100028926,Physical SIM,8915875356631441863,+11429178508,2017-07-10,Active
SIME45D0C9068,CUST100044748,eSIM,8986686094243168009,+18246298122,2024-05-02,Suspended
SIM67D577377E,CUST100037126,Physical SIM,8915351421078308155,+13515731080,2026-02-20,Active
SIM260BB23D7B,CUST100015425,eSIM,8916313318022182757,+18934203091,2025-08-05,Active
SIM8CC87DD708,CUST100089126,eSIM,8973018630289377591,+17361799915,2023-11-01,Active
SIM3CAD6A2F5B,CUST100046649,eSIM,8963397407267084598,+15758036525,2016-05-18,Active
SIMD2CF2EC703,CUST100037145,eSIM,8947607686890011720,+10336105073,2017-01-05,Active
SIM661EC0033A,CUST100088618,Physical SIM,8933201361520996529,+17599353828,2015-05-28,Active
SIMA825FB849B,CUST100071210,eSIM,8914964821763517963,+11095139499,2020-03-19,Active
SIMD26879FCFE,CUST100042990,Physical SIM,8966390534037250578,+15515470812,2015-04-24,Active
SIM4B60F3BF36,CUST100055218,Physical SIM,8900310105994862355,+10484275284,2021-12-07,Active
SIMA45E43DA6F,CUST100032035,eSIM,8972843667320821431,+12601052341,2015-09-25,Active
SIMB17590D444,CUST100096335,eSIM,8910100514475671343,+12460615282,2024-12-29,Suspended
SIMD24D314E57,CUST100086655,eSIM,8927998525624352020,+14086613280,2024-03-06,Active
SIM36CFAE4207,CUST100098582,eSIM,8976061902490267036,+16345093896,2020-10-26,Active
SIM6DF65D4A15,CUST100057718,Physical SIM,8914578278345616282,+14112369731,2015-01-04,Active
SIM8267869E49,CUST100021935,eSIM,8967252925439155066,+14195011169,2022-02-23,Active
SIMD9D6E13112,CUST100095892,eSIM,8936674035081918466,+14265691108,2025-11-15,Active
SIMFC9A0CF140,CUST100024580,Physical SIM,8932005925759807235,+16589540101,2020-05-23,Active
SIMEA260922B7,CUST100003049,eSIM,8924195064960481378,+19949891701,2017-10-11,Suspended
SIM9AEF2D75CA,CUST100096970,eSIM,8966281933399861279,+16782155926,2017-10-14,Active
SIM3EF177FC07,CUST100073074,eSIM,8956028906726552243,+18749955102,2017-08-28,Active
SIM9D0E25EBF4,CUST100057643,Physical SIM,8934085878276373852,+12912675646,2020-01-31,Active
SIMD9CEC1C778,CUST100007133,Physical SIM,8973092754461561759,+18615883278,2026-04-18,Active
SIMF84E43C9C3,CUST100039965,eSIM,8920517594708511011,+15464796810,2021-04-03,Active
SIMC7980ABE22,CUST100080268,Physical SIM,8945478460923684638,+17424894058,2021-03-03,Active
SIM20A490F229,CUST100016110,eSIM,8922790631276875322,+13018092509,2021-08-17,Active
SIM57E8756F01,CUST100006056,eSIM,8985496381190375129,+19956343516,2018-09-10,Active
SIM9EA538A3AA,CUST100050027,Physical SIM,8918606725797637086,+19047443367,2016-04-13,Suspended
SIM7508DCD827,CUST100060957,Physical SIM,8904635988155928316,+13090295695,2021-07-18,Active
SIM46E00D136C,CUST100022296,Physical SIM,8955413897541643053,+15897606894,2017-09-24,Deactivated
SIMD8615B8338,CUST100009584,Physical SIM,8908918881692392996,+12138468478,2020-07-31,Active
SIM9DBDDF0CC5,CUST100083808,eSIM,8963029927754536621,+17267672930,2019-04-17,Suspended
SIME27E4334A6,CUST100031736,Physical SIM,8953052740977357201,+16861892438,2024-01-07,Active
SIM619C06623B,CUST100022682,Physical SIM,8906521959118356989,+11557530637,2022-01-17,Active
SIM3FA83FBF54,CUST100086933,Physical SIM,8964364789547548249,+10812082721,2026-06-26,Active
SIMBD481D42A1,CUST100015388,Physical SIM,8952588785782542611,+18847045460,2017-07-03,Deactivated
SIM8FB68BE20E,CUST100063355,Physical SIM,8974040495124313807,+15414076544,2021-09-02,Active
SIMA9FBAE0599,CUST100029639,Physical SIM,8966130499424280355,+11222808967,2017-07-01,Active
SIM5A1F628A3F,CUST100064010,Physical SIM,8967894523679935761,+17134516948,2019-09-20,Active
SIM079DA85C35,CUST100024171,Physical SIM,8912087908424954864,+13366722005,2026-04-17,Active
SIMB4016AC8C5,CUST100082635,Physical SIM,8958562189577955758,+19426002403,2021-03-02,Active
SIMDF2160BF87,CUST100008479,Physical SIM,8952478599678476907,+15920331746,2016-08-09,Active
SIMA67C335100,CUST100000703,eSIM,8978390986634255995,+11392353439,2019-11-02,Active
SIM7F6E51C2FF,CUST100056279,Physical SIM,8996287310953852467,+16161938534,2023-11-22,Active
SIMC0D6414B5C,CUST100015698,Physical SIM,8964219666492536120,+13763038532,2026-05-28,Active
SIM607DBE3E2B,CUST100012305,Physical SIM,8991290261293334554,+19422680684,2022-02-11,Active
SIMF65417BB3D,CUST100066621,Physical SIM,8903162919734378207,+16353846832,2019-10-24,Active
SIMF163AF4AFE,CUST100043960,Physical SIM,8900692260501695922,+19777500707,2024-02-23,Active
SIM7C64E437B9,CUST100002024,Physical SIM,8970237196259375957,+12876718898,2024-10-18,Active
SIMD49519A838,CUST100069055,Physical SIM,8954857332819606126,+18490064532,2017-06-07,Active
SIM27DDD94522,CUST100072645,Physical SIM,8970739739210143325,+12019887063,2020-02-03,Active
SIMD7E9803617,CUST100022187,Physical SIM,8977728641208715852,+19579976818,2023-06-26,Active
SIM749283C8B3,CUST100039161,Physical SIM,8956949329500407860,+12826947148,2023-01-12,Active
SIM45D9E99482,CUST100088583,Physical SIM,8962224838612866550,+10389844202,2024-05-11,Active
SIMA2ACC5430D,CUST100075982,Physical SIM,8960164401532310427,+13433985223,2021-11-06,Active
SIMAA2A432E6E,CUST100092810,eSIM,8903183839681087196,+13323864664,2015-12-23,Active
SIMC3F311E9FF,CUST100026538,Physical SIM,8995257301400903704,+17278946790,2018-06-20,Active
SIMACD9D9C973,CUST100064148,Physical SIM,8995672373021535310,+19752104657,2017-02-26,Active
SIMAA31BB6F91,CUST100085877,Physical SIM,8973262877305577344,+18552667692,2023-10-27,Active
SIMCB281913D1,CUST100088346,Physical SIM,8939906110072012126,+17714149290,2019-12-19,Active
SIMBD2F2AFC15,CUST100000055,Physical SIM,8946589545463652809,+14618905180,2022-01-14,Active
SIM592647DC1B,CUST100081036,Physical SIM,8951722835150756906,+16767256561,2016-04-28,Active
SIM97846FC2D8,CUST100011874,Physical SIM,8952334032687471951,+18158288745,2019-02-07,Active
SIM69DDA341E3,CUST100049568,eSIM,8918227333011152701,+18798974700,2024-08-11,Deactivated
SIM6BEA171D04,CUST100008561,Physical SIM,8965568931285639798,+12826104405,2025-09-06,Active
SIM143153AA12,CUST100077966,eSIM,8926290724318889255,+18825642644,2019-11-17,Active
SIM4B3D6F109F,CUST100034378,eSIM,8904232732272211870,+13911074796,2016-07-18,Active
SIMC4ECADE2B1,CUST100056246,Physical SIM,8979424716063315350,+11175330501,2020-08-09,Active
SIMED1AEEAC8D,CUST100010477,Physical SIM,8994413951577576709,+12810364587,2018-10-18,Active
SIM6F2E37F97A,CUST100028551,Physical SIM,8902131000121874833,+19102174073,2021-06-24,Active
SIM9160C52E52,CUST100022593,Physical SIM,8965114497370453843,+16173635469,2021-11-20,Suspended
SIM7C87A3AF81,CUST100003511,Physical SIM,8942638171642842302,+13871931658,2016-06-26,Active
SIMD5A3BA38B9,CUST100048165,eSIM,8930780246320086942,+12067385021,2022-01-08,Deactivated
