delivery_id,order_id,driver_employee_id,delivery_address,city,state,zip,status,dispatched_at,delivered_at,distance_miles,tip_amount
DEL0022,ORD0022,EMP0228,6586 Highland Ave,Dallas,TX,75201,queued,2025-08-21 16:05:48,2025-08-21 17:19:48,4.0,0.67
DEL0023,ORD0023,EMP0254,9739 River Rd,Dallas,TX,75201,returned,2025-07-09 20:57:01,2025-07-09 21:58:01,7.6,0.60
DEL0024,ORD0024,EMP0002,103 5th Ave,Phoenix,AZ,85004,queued,2026-01-15 01:38:05,2026-01-15 02:49:05,11.2,0.74
DEL0025,ORD0025,EMP0901,9433 Elm St,Columbus,OH,43215,assigned,2024-08-03 19:27:42,2024-08-03 20:12:42,7.0,5.85
DEL0026,ORD0026,EMP0335,7057 Main St,Dallas,TX,75201,queued,2024-04-02 09:01:09,2024-04-02 09:19:09,9.5,0.09
DEL0027,ORD0027,EMP0863,4935 Park Ave,Charlotte,NC,28202,failed,2025-02-08 19:08:50,2025-02-08 19:48:50,8.1,11.86
DEL0028,ORD0028,EMP0534,2716 Park Ave,Phoenix,AZ,85004,delivered,2025-07-22 23:24:54,2025-07-23 00:44:54,10.2,8.01
DEL0029,ORD0029,EMP0537,6024 Oak Ave,Houston,TX,77002,returned,2024-10-22 05:31:18,2024-10-22 06:27:18,7.1,10.40
DEL0030,ORD0030,EMP0708,944 Lakeview Blvd,Seattle,WA,98101,delivered,2025-11-06 01:30:00,2025-11-06 02:16:00,10.4,4.52
DEL0031,ORD0031,EMP0738,735 2nd St,Seattle,WA,98101,returned,2026-05-22 20:23:59,2026-05-22 21:27:59,3.2,0.80
DEL0032,ORD0032,EMP0561,9493 Maple Dr,Phoenix,AZ,85004,failed,2025-01-11 19:40:41,2025-01-11 20:01:41,1.0,1.41
DEL0033,ORD0033,EMP0717,5819 Park Ave,Portland,OR,97201,queued,2025-07-24 17:43:31,2025-07-24 18:59:31,3.2,1.92
DEL0034,ORD0034,EMP0097,2046 2nd St,Houston,TX,77002,failed,2024-09-26 14:21:55,2024-09-26 15:51:55,11.6,7.50
DEL0035,ORD0035,EMP0127,744 Sunset Blvd,Charlotte,NC,28202,en_route,2024-09-17 03:42:00,2024-09-17 04:05:00,7.6,8.30
DEL0036,ORD0036,EMP0285,2488 Main St,Nashville,TN,37203,failed,2026-07-16 14:14:47,2026-07-16 15:19:47,0.9,8.20
DEL0037,ORD0037,EMP0091,117 Pine Rd,San Antonio,TX,78205,delivered,2026-01-20 00:09:29,2026-01-20 01:26:29,4.1,4.39
DEL0038,ORD0038,EMP0804,560 5th Ave,Nashville,TN,37203,queued,2025-05-04 04:17:34,2025-05-04 05:34:34,7.8,11.22
DEL0039,ORD0039,EMP0955,8483 Elm St,Portland,OR,97201,returned,2024-11-09 21:26:07,2024-11-09 22:31:07,6.3,5.13
DEL0040,ORD0040,EMP0028,9585 5th Ave,Portland,OR,97201,en_route,2024-11-22 19:55:09,2024-11-22 21:12:09,6.2,8.37
DEL0041,ORD0041,EMP0934,1135 Highland Ave,San Antonio,TX,78205,failed,2026-03-12 15:44:54,2026-03-12 16:05:54,9.5,0.69
DEL0042,ORD0042,EMP0830,4542 2nd St,Dallas,TX,75201,returned,2025-03-22 13:12:34,2025-03-22 13:51:34,6.9,8.34
DEL0043,ORD0043,EMP0372,565 Sunset Blvd,Austin,TX,78701,failed,2025-03-24 13:29:49,2025-03-24 14:40:49,8.2,5.53
DEL0044,ORD0044,EMP0074,857 Cedar Ln,Columbus,OH,43215,failed,2024-07-16 22:09:30,2024-07-16 22:35:30,3.4,2.25
DEL0045,ORD0045,EMP0121,7057 Main St,Dallas,TX,75201,delivered,2025-06-14 23:41:46,2025-06-15 00:03:46,9.0,6.97
DEL0046,ORD0046,EMP0301,9297 Market St,Dallas,TX,75201,delivered,2024-10-31 07:58:03,2024-10-31 09:01:03,7.3,1.28
DEL0047,ORD0047,EMP0833,3015 Sunset Blvd,Charlotte,NC,28202,en_route,2026-05-28 03:29:56,2026-05-28 04:44:56,7.2,5.47
DEL0048,ORD0048,EMP0580,6330 Elm St,Chicago,IL,60601,assigned,2025-05-13 19:39:20,2025-05-13 20:59:20,7.2,4.70
DEL0049,ORD0049,EMP0274,5105 Market St,Austin,TX,78701,failed,2024-02-01 19:25:02,2024-02-01 19:51:02,3.1,2.97
DEL0050,ORD0050,EMP0383,59 Park Ave,Charlotte,NC,28202,assigned,2025-07-18 20:05:51,2025-07-18 21:35:51,8.2,8.85
DEL0051,ORD0051,EMP0841,7354 Maple Dr,San Antonio,TX,78205,en_route,2024-08-26 11:07:46,2024-08-26 11:29:46,7.8,0.35
DEL0052,ORD0052,EMP0765,6993 Sunset Blvd,Houston,TX,77002,en_route,2024-07-26 00:47:56,2024-07-26 01:44:56,3.2,3.71
DEL0053,ORD0053,EMP0904,1292 Elm St,Seattle,WA,98101,queued,2024-02-26 19:10:48,2024-02-26 20:01:48,8.8,8.68
DEL0054,ORD0054,EMP0840,1268 Highland Ave,Tampa,FL,33602,queued,2024-02-20 10:01:30,2024-02-20 11:09:30,9.1,4.19
DEL0055,ORD0055,EMP0572,4557 Sunset Blvd,Portland,OR,97201,failed,2025-10-19 00:02:03,2025-10-19 01:32:03,9.4,11.08
DEL0056,ORD0056,EMP0261,7308 2nd St,Chicago,IL,60601,queued,2025-02-21 18:30:52,2025-02-21 19:10:52,5.1,10.60
DEL0057,ORD0057,EMP0987,7129 Maple Dr,Chicago,IL,60601,returned,2024-05-14 18:58:44,2024-05-14 19:46:44,1.0,6.94
DEL0058,ORD0058,EMP0848,1788 5th Ave,Chicago,IL,60601,queued,2025-07-04 06:21:09,2025-07-04 07:31:09,6.3,10.92
DEL0059,ORD0059,EMP0847,2976 Maple Dr,Atlanta,GA,30303,failed,2024-09-08 10:25:53,2024-09-08 11:07:53,2.9,4.56
DEL0060,ORD0060,EMP0126,4124 River Rd,Columbus,OH,43215,queued,2026-06-25 10:14:03,2026-06-25 10:31:03,3.1,10.30
DEL0061,ORD0061,EMP0345,401 Market St,Dallas,TX,75201,failed,2026-07-20 22:42:19,2026-07-20 23:31:19,6.0,6.79
DEL0062,ORD0062,EMP0858,6354 5th Ave,Miami,FL,33101,en_route,2026-07-31 19:31:53,2026-07-31 20:33:53,1.7,7.98
DEL0063,ORD0063,EMP0108,7620 Oak Ave,Phoenix,AZ,85004,failed,2026-06-01 22:18:01,2026-06-01 23:40:01,9.2,4.90
DEL0064,ORD0064,EMP0146,6962 Cedar Ln,Phoenix,AZ,85004,assigned,2024-05-10 00:02:26,2024-05-10 00:20:26,6.7,9.20
DEL0065,ORD0065,EMP0474,6688 Elm St,Charlotte,NC,28202,assigned,2025-05-23 02:36:02,2025-05-23 03:41:02,0.7,11.30
DEL0066,ORD0066,EMP0441,5825 5th Ave,Tampa,FL,33602,queued,2026-01-05 21:52:06,2026-01-05 22:23:06,3.7,11.85
DEL0067,ORD0067,EMP0317,8069 Highland Ave,Phoenix,AZ,85004,en_route,2026-02-18 13:50:41,2026-02-18 14:14:41,4.3,6.51
DEL0068,ORD0068,EMP0140,4052 Lakeview Blvd,Nashville,TN,37203,returned,2024-09-08 07:36:57,2024-09-08 07:58:57,9.7,1.85
DEL0069,ORD0069,EMP0696,1497 Lakeview Blvd,Portland,OR,97201,failed,2024-05-11 04:18:18,2024-05-11 05:45:18,7.7,6.83
DEL0070,ORD0070,EMP0586,8389 Cedar Ln,Charlotte,NC,28202,returned,2025-03-27 02:41:35,2025-03-27 03:31:35,10.4,7.55
DEL0071,ORD0071,EMP0816,2111 Sunset Blvd,Charlotte,NC,28202,queued,2024-03-11 12:44:08,2024-03-11 14:05:08,7.6,6.26
DEL0072,ORD0072,EMP0873,7560 2nd St,Atlanta,GA,30303,assigned,2026-05-15 22:50:26,2026-05-15 23:54:26,5.4,10.70
DEL0073,ORD0073,EMP0786,927 5th Ave,Portland,OR,97201,failed,2025-05-30 16:12:30,2025-05-30 16:56:30,9.2,8.46
DEL0074,ORD0074,EMP0662,2879 Elm St,Phoenix,AZ,85004,delivered,2025-06-02 06:53:50,2025-06-02 08:05:50,3.4,6.08
DEL0075,ORD0075,EMP0426,9249 Elm St,Denver,CO,80202,en_route,2024-08-04 04:19:34,2024-08-04 05:26:34,11.9,0.46
DEL0076,ORD0076,EMP0814,1304 Highland Ave,Austin,TX,78701,assigned,2024-03-15 12:17:34,2024-03-15 12:54:34,7.2,9.07
DEL0077,ORD0077,EMP0932,1153 Main St,Phoenix,AZ,85004,delivered,2024-07-12 03:53:55,2024-07-12 04:11:55,3.1,7.09
DEL0078,ORD0078,EMP0977,54 Cedar Ln,San Antonio,TX,78205,assigned,2024-05-03 08:32:19,2024-05-03 09:31:19,9.1,2.55
DEL0079,ORD0079,EMP0121,6632 Maple Dr,Chicago,IL,60601,delivered,2026-07-23 14:08:24,2026-07-23 15:12:24,1.2,7.19
DEL0080,ORD0080,EMP0706,2326 5th Ave,Miami,FL,33101,failed,2025-04-16 08:24:37,2025-04-16 09:41:37,5.0,7.14
DEL0081,ORD0081,EMP0249,7181 5th Ave,Charlotte,NC,28202,delivered,2024-10-04 07:43:01,2024-10-04 09:08:01,9.3,1.49
DEL0082,ORD0082,EMP0615,596 2nd St,Houston,TX,77002,en_route,2026-04-14 07:54:25,2026-04-14 08:32:25,1.0,10.17
DEL0083,ORD0083,EMP0316,4205 Pine Rd,San Antonio,TX,78205,delivered,2025-09-13 23:12:14,2025-09-13 23:58:14,11.3,5.90
DEL0084,ORD0084,EMP0479,3749 2nd St,Atlanta,GA,30303,en_route,2026-05-01 18:03:32,2026-05-01 18:31:32,4.5,3.60
DEL0085,ORD0085,EMP0815,9428 Cedar Ln,Nashville,TN,37203,delivered,2026-04-14 08:58:00,2026-04-14 09:38:00,7.7,2.61
DEL0086,ORD0086,EMP0697,7129 Maple Dr,Chicago,IL,60601,en_route,2025-11-07 13:58:21,2025-11-07 14:28:21,7.5,1.05
DEL0087,ORD0087,EMP0567,4129 5th Ave,Atlanta,GA,30303,queued,2024-04-26 12:47:24,2024-04-26 13:24:24,7.2,3.64
DEL0088,ORD0088,EMP0849,4320 Oak Ave,Charlotte,NC,28202,failed,2024-11-12 22:15:58,2024-11-12 23:03:58,11.5,1.75
DEL0089,ORD0089,EMP0056,7243 Park Ave,Austin,TX,78701,delivered,2026-01-13 19:25:02,2026-01-13 20:13:02,6.3,0.82
DEL0090,ORD0090,EMP0369,7972 Pine Rd,Chicago,IL,60601,failed,2024-06-27 18:22:40,2024-06-27 19:35:40,2.4,4.17
DEL0091,ORD0091,EMP0322,2885 Maple Dr,Seattle,WA,98101,assigned,2025-08-17 23:47:11,2025-08-18 00:23:11,5.7,0.94
DEL0092,ORD0092,EMP0142,5858 Elm St,Portland,OR,97201,returned,2025-07-08 13:48:23,2025-07-08 14:56:23,7.7,0.22
DEL0093,ORD0093,EMP0381,1451 Main St,Chicago,IL,60601,queued,2025-10-02 17:53:31,2025-10-02 18:14:31,7.1,4.64
DEL0094,ORD0094,EMP0005,944 Lakeview Blvd,Seattle,WA,98101,failed,2024-11-16 21:06:11,2024-11-16 21:51:11,10.8,10.68
DEL0095,ORD0095,EMP0541,8860 Oak Ave,Portland,OR,97201,returned,2025-08-12 08:13:36,2025-08-12 09:35:36,0.6,6.76
DEL0096,ORD0096,EMP0471,8530 Maple Dr,Charlotte,NC,28202,assigned,2025-04-13 16:02:14,2025-04-13 16:42:14,6.6,11.89
DEL0097,ORD0097,EMP0495,4432 Highland Ave,Dallas,TX,75201,failed,2024-12-02 09:36:10,2024-12-02 10:01:10,8.4,11.96
DEL0098,ORD0098,EMP0155,9757 Lakeview Blvd,Dallas,TX,75201,assigned,2026-06-01 21:16:34,2026-06-01 22:14:34,11.6,6.70
DEL0099,ORD0099,EMP0551,5244 River Rd,Chicago,IL,60601,queued,2024-12-09 23:10:04,2024-12-10 00:10:04,10.8,1.15
DEL0100,ORD0100,EMP0444,4884 Maple Dr,Columbus,OH,43215,failed,2024-01-11 10:55:42,2024-01-11 11:31:42,6.3,1.18
DEL0101,ORD0101,EMP0722,889 Highland Ave,Chicago,IL,60601,queued,2025-03-12 16:19:47,2025-03-12 16:37:47,2.6,10.14
DEL0102,ORD0102,EMP0593,9428 Cedar Ln,Nashville,TN,37203,delivered,2025-12-04 08:07:53,2025-12-04 09:19:53,10.1,3.23
DEL0103,ORD0103,EMP0069,4604 Market St,San Antonio,TX,78205,assigned,2024-10-21 19:45:51,2024-10-21 20:37:51,4.6,9.29
DEL0104,ORD0104,EMP0380,7960 Park Ave,Denver,CO,80202,queued,2026-07-29 11:46:07,2026-07-29 12:53:07,2.9,6.15
DEL0105,ORD0105,EMP0839,6441 Lakeview Blvd,Nashville,TN,37203,failed,2024-10-18 14:24:33,2024-10-18 15:10:33,2.6,7.32
DEL0106,ORD0106,EMP0625,4884 Maple Dr,Columbus,OH,43215,delivered,2025-10-11 22:50:20,2025-10-11 23:19:20,1.0,5.56
DEL0107,ORD0107,EMP0272,7545 Elm St,Seattle,WA,98101,returned,2024-10-16 03:36:18,2024-10-16 05:00:18,9.8,1.39
DEL0108,ORD0108,EMP0775,2924 Oak Ave,Columbus,OH,43215,failed,2024-12-09 00:30:15,2024-12-09 00:46:15,7.6,1.08
DEL0109,ORD0109,EMP0447,5053 Cedar Ln,San Antonio,TX,78205,returned,2025-12-03 19:28:58,2025-12-03 19:44:58,8.8,6.55
DEL0110,ORD0110,EMP0564,5023 Oak Ave,Nashville,TN,37203,returned,2025-08-21 02:39:37,2025-08-21 03:07:37,8.7,1.86
DEL0111,ORD0111,EMP0115,6620 5th Ave,Seattle,WA,98101,en_route,2025-12-15 09:22:35,2025-12-15 10:38:35,1.6,2.85
DEL0112,ORD0112,EMP0694,7817 Maple Dr,Atlanta,GA,30303,en_route,2025-05-22 04:36:47,2025-05-22 04:55:47,1.7,11.77
DEL0113,ORD0113,EMP0348,1451 Main St,Chicago,IL,60601,returned,2026-02-18 17:47:26,2026-02-18 18:38:26,0.8,8.23
DEL0114,ORD0114,EMP0787,8283 Lakeview Blvd,San Antonio,TX,78205,assigned,2025-08-14 04:56:58,2025-08-14 05:36:58,11.2,7.35
DEL0115,ORD0115,EMP0435,8461 Main St,Seattle,WA,98101,failed,2024-09-02 19:33:57,2024-09-02 19:55:57,1.2,10.48
DEL0116,ORD0116,EMP0041,8569 Park Ave,Chicago,IL,60601,en_route,2024-03-08 13:47:52,2024-03-08 14:42:52,2.8,7.44
DEL0117,ORD0117,EMP0897,5514 River Rd,Nashville,TN,37203,assigned,2026-01-20 02:04:12,2026-01-20 03:21:12,5.6,0.99
DEL0118,ORD0118,EMP0430,7060 Highland Ave,Portland,OR,97201,failed,2024-08-04 05:19:41,2024-08-04 06:40:41,5.2,10.55
DEL0119,ORD0119,EMP0061,2360 Elm St,Dallas,TX,75201,queued,2024-05-31 14:02:47,2024-05-31 15:13:47,6.2,2.12
DEL0120,ORD0120,EMP0055,3079 Oak Ave,Phoenix,AZ,85004,failed,2024-11-02 08:45:07,2024-11-02 09:32:07,8.9,1.75
DEL0121,ORD0121,EMP0734,1135 Highland Ave,San Antonio,TX,78205,delivered,2026-04-20 15:48:44,2026-04-20 16:42:44,4.8,5.64
DEL0122,ORD0122,EMP0381,5592 Oak Ave,Tampa,FL,33602,returned,2025-12-30 19:46:40,2025-12-30 20:52:40,7.6,5.00
DEL0123,ORD0123,EMP0170,1673 Highland Ave,Chicago,IL,60601,delivered,2025-12-28 00:04:42,2025-12-28 00:26:42,8.7,7.25
DEL0124,ORD0124,EMP0575,9555 5th Ave,Phoenix,AZ,85004,queued,2025-03-31 13:40:43,2025-03-31 14:34:43,1.9,7.41
DEL0125,ORD0125,EMP0383,8139 Main St,Denver,CO,80202,failed,2025-02-01 14:23:04,2025-02-01 15:46:04,8.2,10.96
DEL0126,ORD0126,EMP0043,560 Elm St,Nashville,TN,37203,assigned,2024-08-29 11:11:56,2024-08-29 11:54:56,4.4,0.33
DEL0127,ORD0127,EMP0221,8771 Maple Dr,Houston,TX,77002,delivered,2026-05-15 17:48:32,2026-05-15 18:52:32,5.0,0.41
DEL0128,ORD0128,EMP0847,1673 Highland Ave,Chicago,IL,60601,failed,2024-03-19 13:30:16,2024-03-19 14:25:16,4.3,2.50
DEL0129,ORD0129,EMP0894,1575 River Rd,Columbus,OH,43215,en_route,2024-12-05 16:26:35,2024-12-05 17:37:35,9.4,0.97
DEL0130,ORD0130,EMP1000,1153 Main St,Phoenix,AZ,85004,delivered,2024-04-27 13:26:22,2024-04-27 14:47:22,8.0,11.37
DEL0131,ORD0131,EMP0970,9958 Lakeview Blvd,Miami,FL,33101,delivered,2025-03-10 14:55:15,2025-03-10 15:34:15,9.4,11.29
DEL0132,ORD0132,EMP0254,6259 Lakeview Blvd,Columbus,OH,43215,delivered,2026-07-06 19:02:28,2026-07-06 20:14:28,10.1,10.25
DEL0133,ORD0133,EMP0153,8056 Market St,Columbus,OH,43215,assigned,2025-02-13 23:31:13,2025-02-13 23:56:13,1.2,8.08
DEL0134,ORD0134,EMP0730,4568 Oak Ave,Columbus,OH,43215,queued,2025-09-26 20:55:46,2025-09-26 21:47:46,11.1,10.02
DEL0135,ORD0135,EMP0592,8199 Oak Ave,Atlanta,GA,30303,delivered,2024-06-27 10:49:02,2024-06-27 11:49:02,8.1,2.99
DEL0136,ORD0136,EMP0112,590 Main St,Dallas,TX,75201,assigned,2025-05-12 15:30:10,2025-05-12 15:46:10,10.2,2.68
DEL0137,ORD0137,EMP0858,7560 2nd St,Atlanta,GA,30303,failed,2025-06-04 02:53:02,2025-06-04 03:17:02,4.8,11.62
DEL0138,ORD0138,EMP0513,2167 Cedar Ln,San Antonio,TX,78205,queued,2024-05-10 07:26:45,2024-05-10 07:51:45,0.7,4.07
DEL0139,ORD0139,EMP0138,7817 Maple Dr,Atlanta,GA,30303,delivered,2025-03-08 06:02:55,2025-03-08 06:38:55,11.4,9.63
DEL0140,ORD0140,EMP0339,9243 Elm St,Denver,CO,80202,returned,2024-04-01 12:30:55,2024-04-01 13:41:55,9.7,5.48
DEL0141,ORD0141,EMP0799,5060 Sunset Blvd,Portland,OR,97201,assigned,2025-06-10 01:44:05,2025-06-10 02:54:05,1.5,7.25
DEL0142,ORD0142,EMP0545,4077 Cedar Ln,Portland,OR,97201,returned,2024-03-23 22:41:24,2024-03-23 23:35:24,9.5,10.85
DEL0143,ORD0143,EMP0116,9445 Market St,Charlotte,NC,28202,returned,2026-07-09 01:07:43,2026-07-09 01:42:43,11.6,2.28
DEL0144,ORD0144,EMP0359,2488 Main St,Nashville,TN,37203,failed,2024-08-06 17:15:35,2024-08-06 18:15:35,9.7,7.88
DEL0145,ORD0145,EMP0298,3681 Sunset Blvd,Columbus,OH,43215,assigned,2025-08-17 14:22:41,2025-08-17 15:15:41,6.5,1.83
DEL0146,ORD0146,EMP0538,2485 Pine Rd,Atlanta,GA,30303,queued,2026-04-01 14:29:18,2026-04-01 15:49:18,4.3,4.57
DEL0147,ORD0147,EMP0960,3212 Highland Ave,Columbus,OH,43215,assigned,2024-05-19 13:55:40,2024-05-19 14:37:40,4.9,2.85
DEL0148,ORD0148,EMP0085,4435 Highland Ave,Dallas,TX,75201,delivered,2025-11-20 11:34:31,2025-11-20 12:02:31,9.5,12.00
DEL0149,ORD0149,EMP0348,9336 Lakeview Blvd,Tampa,FL,33602,queued,2025-02-01 06:16:39,2025-02-01 06:49:39,4.1,10.35
DEL0150,ORD0150,EMP0745,8128 River Rd,Houston,TX,77002,en_route,2024-05-26 22:11:58,2024-05-26 23:06:58,9.5,2.12
DEL0151,ORD0151,EMP0401,756 5th Ave,Chicago,IL,60601,failed,2024-05-23 19:19:22,2024-05-23 20:31:22,11.3,9.59
DEL0152,ORD0152,EMP0053,2910 5th Ave,Phoenix,AZ,85004,failed,2026-07-03 20:21:36,2026-07-03 21:44:36,1.0,8.35
DEL0153,ORD0153,EMP0212,2921 Elm St,Dallas,TX,75201,en_route,2024-01-25 17:20:12,2024-01-25 18:36:12,9.5,9.56
DEL0154,ORD0154,EMP0516,7785 Pine Rd,Columbus,OH,43215,returned,2024-12-17 12:48:24,2024-12-17 14:13:24,2.2,9.53
DEL0155,ORD0155,EMP0313,1527 Pine Rd,Chicago,IL,60601,queued,2024-11-04 01:59:52,2024-11-04 02:44:52,5.9,10.31
DEL0156,ORD0156,EMP0866,3870 Sunset Blvd,Portland,OR,97201,assigned,2026-01-10 20:58:31,2026-01-10 22:22:31,2.5,1.16
DEL0157,ORD0157,EMP0450,8939 5th Ave,Seattle,WA,98101,queued,2025-10-05 02:11:29,2025-10-05 03:17:29,11.2,2.78
DEL0158,ORD0158,EMP0643,8002 Elm St,Seattle,WA,98101,delivered,2024-07-15 19:27:18,2024-07-15 20:24:18,11.1,7.72
DEL0159,ORD0159,EMP0950,74 Cedar Ln,Nashville,TN,37203,queued,2025-09-03 03:24:17,2025-09-03 03:46:17,9.5,6.27
DEL0160,ORD0160,EMP0077,9638 Elm St,Austin,TX,78701,returned,2025-11-14 17:53:58,2025-11-14 18:17:58,9.8,5.13
DEL0161,ORD0161,EMP0894,9253 Park Ave,Columbus,OH,43215,assigned,2024-10-31 20:31:35,2024-10-31 20:52:35,10.4,8.93
DEL0162,ORD0162,EMP0065,4519 Park Ave,Tampa,FL,33602,assigned,2025-02-27 15:44:26,2025-02-27 16:17:26,10.5,9.07
DEL0163,ORD0163,EMP0364,5391 5th Ave,Houston,TX,77002,failed,2024-02-14 17:26:48,2024-02-14 18:20:48,9.5,5.89
DEL0164,ORD0164,EMP0157,3555 5th Ave,Dallas,TX,75201,assigned,2025-11-11 13:09:04,2025-11-11 14:31:04,5.8,3.74
DEL0165,ORD0165,EMP0885,3289 Main St,Houston,TX,77002,en_route,2025-06-21 13:16:50,2025-06-21 14:35:50,7.1,8.34
DEL0166,ORD0166,EMP0233,3778 5th Ave,Chicago,IL,60601,returned,2025-07-23 04:24:00,2025-07-23 05:31:00,7.1,6.07
DEL0167,ORD0167,EMP0720,8455 Main St,Austin,TX,78701,assigned,2025-06-22 12:58:47,2025-06-22 13:34:47,4.4,0.55
DEL0168,ORD0168,EMP0108,1435 Main St,Atlanta,GA,30303,assigned,2025-12-13 09:51:29,2025-12-13 10:53:29,8.1,8.80
DEL0169,ORD0169,EMP0724,9072 Maple Dr,Miami,FL,33101,returned,2026-03-22 17:06:07,2026-03-22 18:32:07,9.5,2.58
DEL0170,ORD0170,EMP0714,1348 Main St,Seattle,WA,98101,en_route,2026-06-04 07:08:56,2026-06-04 07:46:56,9.8,1.27
DEL0171,ORD0171,EMP0807,3043 Main St,Miami,FL,33101,queued,2024-08-01 12:58:19,2024-08-01 13:53:19,9.1,0.27
DEL0172,ORD0172,EMP0619,3559 Lakeview Blvd,Miami,FL,33101,en_route,2026-03-08 15:53:36,2026-03-08 16:24:36,10.4,0.73
DEL0173,ORD0173,EMP0273,4297 2nd St,Nashville,TN,37203,delivered,2026-03-13 17:40:27,2026-03-13 17:55:27,4.4,6.44
DEL0174,ORD0174,EMP0580,9178 River Rd,Chicago,IL,60601,assigned,2026-07-25 22:21:06,2026-07-25 23:27:06,1.9,0.29
DEL0175,ORD0175,EMP0306,8239 River Rd,Charlotte,NC,28202,en_route,2025-01-08 20:19:27,2025-01-08 21:36:27,9.1,4.95
DEL0176,ORD0176,EMP0718,9784 Park Ave,Denver,CO,80202,queued,2025-01-19 11:11:26,2025-01-19 12:02:26,7.1,3.19
DEL0177,ORD0177,EMP0303,4560 Pine Rd,Miami,FL,33101,queued,2024-01-26 00:39:18,2024-01-26 01:38:18,1.2,2.77
DEL0178,ORD0178,EMP0791,7133 Pine Rd,Miami,FL,33101,delivered,2025-11-30 13:06:01,2025-11-30 14:25:01,1.7,7.24
DEL0179,ORD0179,EMP0877,8871 Elm St,Charlotte,NC,28202,returned,2024-08-10 12:11:09,2024-08-10 13:13:09,5.7,3.78
DEL0180,ORD0180,EMP0264,726 Highland Ave,Chicago,IL,60601,returned,2024-04-15 23:13:45,2024-04-16 00:14:45,2.4,3.79
DEL0181,ORD0181,EMP0772,8002 Elm St,Seattle,WA,98101,failed,2025-02-18 16:07:21,2025-02-18 17:21:21,1.9,9.70
DEL0182,ORD0182,EMP0374,9682 River Rd,Chicago,IL,60601,queued,2024-10-28 11:17:33,2024-10-28 12:16:33,9.9,11.85
DEL0183,ORD0183,EMP0288,6516 Pine Rd,Charlotte,NC,28202,queued,2026-07-17 20:51:21,2026-07-17 21:18:21,0.5,5.84
