supplier_id,supplier_name,category,contact_name,email,phone,city,state,zip,payment_terms_days,is_preferred
SUP0018,Artisan Cheese Works 18,beverages,Aiden Hill,orders18@supplier18.example.com,(948) 767-5764,Charlotte,NC,28202,15,false
SUP0019,Artisan Cheese Works 19,produce,Joseph Brown,orders19@supplier19.example.com,(740) 219-7914,Portland,OR,97201,45,false
SUP0020,Urban Beverage Dist 20,dry_goods,Elijah Young,orders20@supplier20.example.com,(837) 861-6681,Denver,CO,80202,60,false
SUP0021,Harvest Flour Mills 21,meat,Layla Gonzalez,orders21@supplier21.example.com,(680) 552-8178,Austin,TX,78701,30,false
SUP0022,FireOven Packaging 22,packaging,Joseph Robinson,orders22@supplier22.example.com,(334) 500-7395,Atlanta,GA,30303,60,true
SUP0023,FireOven Packaging 23,equipment,Zoey Hernandez,orders23@supplier23.example.com,(836) 412-5627,Miami,FL,33101,15,false
SUP0024,Harvest Flour Mills 24,produce,Mia Hill,orders24@supplier24.example.com,(703) 303-7815,Houston,TX,77002,60,false
SUP0025,Valley Farms Dairy 25,dairy,Ella Taylor,orders25@supplier25.example.com,(565) 893-3598,San Antonio,TX,78205,30,true
SUP0026,Valley Farms Dairy 26,equipment,Emma Perez,orders26@supplier26.example.com,(640) 316-4714,Columbus,OH,43215,15,false
SUP0027,GreenLeaf Produce 27,meat,Ella Williams,orders27@supplier27.example.com,(988) 770-5382,Portland,OR,97201,30,true
SUP0028,Roma Tomato Co 28,beverages,Noah Lewis,orders28@supplier28.example.com,(668) 973-2817,Charlotte,NC,28202,15,true
SUP0029,Roma Tomato Co 29,equipment,Jack Williams,orders29@supplier29.example.com,(719) 307-3736,Atlanta,GA,30303,15,true
SUP0030,FireOven Packaging 30,produce,Layla Jackson,orders30@supplier30.example.com,(925) 652-9288,Columbus,OH,43215,60,true
SUP0031,Harvest Flour Mills 31,beverages,Michael Perez,orders31@supplier31.example.com,(341) 325-4307,Dallas,TX,75201,60,true
SUP0032,Valley Farms Dairy 32,produce,Zoey Perez,orders32@supplier32.example.com,(493) 717-3805,Nashville,TN,37203,15,false
SUP0033,Urban Beverage Dist 33,meat,Hazel Thomas,orders33@supplier33.example.com,(355) 971-9677,Tampa,FL,33602,60,true
SUP0034,Urban Beverage Dist 34,dry_goods,Grace Robinson,orders34@supplier34.example.com,(728) 898-6927,Houston,TX,77002,15,false
SUP0035,Valley Farms Dairy 35,beverages,Sebastian Jones,orders35@supplier35.example.com,(286) 546-6157,Nashville,TN,37203,60,true
SUP0036,Urban Beverage Dist 36,dairy,Daniel Williams,orders36@supplier36.example.com,(876) 856-3473,Houston,TX,77002,15,true
SUP0037,GreenLeaf Produce 37,dry_goods,Daniel Scott,orders37@supplier37.example.com,(511) 938-6139,Tampa,FL,33602,45,false
SUP0038,Harvest Flour Mills 38,beverages,Daniel Lewis,orders38@supplier38.example.com,(859) 410-9919,Denver,CO,80202,60,false
SUP0039,Urban Beverage Dist 39,equipment,Amelia Martin,orders39@supplier39.example.com,(286) 237-9805,Columbus,OH,43215,45,false
SUP0040,Harvest Flour Mills 40,packaging,Aria Jackson,orders40@supplier40.example.com,(418) 295-9383,Tampa,FL,33602,45,false
SUP0041,Harvest Flour Mills 41,dairy,Liam Wright,orders41@supplier41.example.com,(806) 464-4954,Nashville,TN,37203,45,true
SUP0042,Roma Tomato Co 42,beverages,Noah White,orders42@supplier42.example.com,(465) 842-9314,Chicago,IL,60601,45,false
SUP0043,Roma Tomato Co 43,dry_goods,Henry Torres,orders43@supplier43.example.com,(954) 205-8424,Nashville,TN,37203,45,true
SUP0044,Coastal Seafoods 44,meat,Henry Jackson,orders44@supplier44.example.com,(882) 932-3293,Nashville,TN,37203,60,false
SUP0045,Roma Tomato Co 45,meat,Sebastian Nguyen,orders45@supplier45.example.com,(397) 997-6919,San Antonio,TX,78205,60,false
SUP0046,Urban Beverage Dist 46,equipment,Grace Garcia,orders46@supplier46.example.com,(294) 263-7961,Tampa,FL,33602,30,false
SUP0047,Roma Tomato Co 47,meat,Matthew King,orders47@supplier47.example.com,(612) 802-9502,Portland,OR,97201,60,true
SUP0048,Artisan Cheese Works 48,beverages,Jacob Lewis,orders48@supplier48.example.com,(905) 701-7830,Atlanta,GA,30303,30,false
SUP0049,Artisan Cheese Works 49,beverages,Logan Rodriguez,orders49@supplier49.example.com,(921) 725-9669,Houston,TX,77002,15,false
SUP0050,Artisan Cheese Works 50,dairy,Levi Hernandez,orders50@supplier50.example.com,(772) 578-2945,Portland,OR,97201,60,false
SUP0051,GreenLeaf Produce 51,dairy,Sebastian Martinez,orders51@supplier51.example.com,(320) 580-5995,Phoenix,AZ,85004,45,false
SUP0052,Valley Farms Dairy 52,equipment,Lucas Martinez,orders52@supplier52.example.com,(803) 631-1797,Portland,OR,97201,45,true
SUP0053,Harvest Flour Mills 53,equipment,Levi Young,orders53@supplier53.example.com,(202) 325-9970,San Antonio,TX,78205,45,false
SUP0054,Urban Beverage Dist 54,dry_goods,Riley Martin,orders54@supplier54.example.com,(779) 663-6534,Austin,TX,78701,60,false
SUP0055,Harvest Flour Mills 55,equipment,Isabella Allen,orders55@supplier55.example.com,(851) 671-8371,Tampa,FL,33602,60,false
SUP0056,FireOven Packaging 56,dairy,Owen Flores,orders56@supplier56.example.com,(619) 596-4814,Tampa,FL,33602,60,false
SUP0057,Artisan Cheese Works 57,beverages,Benjamin Garcia,orders57@supplier57.example.com,(369) 924-1406,Austin,TX,78701,45,false
SUP0058,Roma Tomato Co 58,produce,Owen Wright,orders58@supplier58.example.com,(790) 975-1866,Dallas,TX,75201,30,true
SUP0059,Valley Farms Dairy 59,dairy,Aurora Wright,orders59@supplier59.example.com,(384) 219-5504,Chicago,IL,60601,30,false
SUP0060,Artisan Cheese Works 60,dairy,Aria Hill,orders60@supplier60.example.com,(528) 611-1737,Tampa,FL,33602,60,true
SUP0061,FireOven Packaging 61,dry_goods,Mason Clark,orders61@supplier61.example.com,(224) 740-6199,Austin,TX,78701,60,false
SUP0062,Roma Tomato Co 62,packaging,Mia Jackson,orders62@supplier62.example.com,(347) 387-5187,Dallas,TX,75201,15,false
SUP0063,Harvest Flour Mills 63,dairy,Owen Lee,orders63@supplier63.example.com,(385) 227-1958,Seattle,WA,98101,45,false
SUP0064,Harvest Flour Mills 64,dry_goods,Emily Taylor,orders64@supplier64.example.com,(584) 323-1849,Phoenix,AZ,85004,30,false
SUP0065,Coastal Seafoods 65,dry_goods,Lily Allen,orders65@supplier65.example.com,(594) 317-5412,Atlanta,GA,30303,15,false
SUP0066,Urban Beverage Dist 66,dairy,Zoey Johnson,orders66@supplier66.example.com,(617) 848-4829,Chicago,IL,60601,15,false
SUP0067,Roma Tomato Co 67,produce,Nova Scott,orders67@supplier67.example.com,(867) 328-5990,Atlanta,GA,30303,60,false
SUP0068,Coastal Seafoods 68,equipment,Lucas White,orders68@supplier68.example.com,(753) 372-5016,Charlotte,NC,28202,60,true
SUP0069,Artisan Cheese Works 69,dairy,Ava Robinson,orders69@supplier69.example.com,(835) 496-3742,Chicago,IL,60601,15,false
SUP0070,Artisan Cheese Works 70,meat,Nora Taylor,orders70@supplier70.example.com,(896) 589-6757,Columbus,OH,43215,30,false
SUP0071,GreenLeaf Produce 71,dairy,Mia Wright,orders71@supplier71.example.com,(776) 271-5925,Chicago,IL,60601,15,false
SUP0072,Harvest Flour Mills 72,beverages,Jack Moore,orders72@supplier72.example.com,(642) 415-9270,Dallas,TX,75201,45,true
SUP0073,GreenLeaf Produce 73,equipment,Joseph Lewis,orders73@supplier73.example.com,(479) 451-6269,Phoenix,AZ,85004,45,false
SUP0074,FireOven Packaging 74,dairy,Penelope Rodriguez,orders74@supplier74.example.com,(861) 202-8807,Atlanta,GA,30303,15,true
SUP0075,Harvest Flour Mills 75,dry_goods,Jack Young,orders75@supplier75.example.com,(980) 602-9816,Miami,FL,33101,15,true
SUP0076,Roma Tomato Co 76,packaging,Liam Lewis,orders76@supplier76.example.com,(888) 326-6783,Miami,FL,33101,60,true
SUP0077,Urban Beverage Dist 77,produce,David Smith,orders77@supplier77.example.com,(327) 673-7069,Phoenix,AZ,85004,30,false
SUP0078,Valley Farms Dairy 78,equipment,Benjamin Thompson,orders78@supplier78.example.com,(396) 292-5967,San Antonio,TX,78205,30,false
SUP0079,FireOven Packaging 79,dairy,Benjamin Young,orders79@supplier79.example.com,(920) 923-4425,Portland,OR,97201,15,false
SUP0080,Urban Beverage Dist 80,dairy,Benjamin Torres,orders80@supplier80.example.com,(712) 705-3793,Charlotte,NC,28202,30,false
SUP0081,Harvest Flour Mills 81,dairy,Aiden Rodriguez,orders81@supplier81.example.com,(963) 266-3087,Atlanta,GA,30303,45,true
SUP0082,Coastal Seafoods 82,packaging,Layla Moore,orders82@supplier82.example.com,(396) 894-1378,Charlotte,NC,28202,45,false
SUP0083,Artisan Cheese Works 83,dairy,Jacob Brown,orders83@supplier83.example.com,(530) 642-7666,Columbus,OH,43215,45,false
SUP0084,Artisan Cheese Works 84,dry_goods,Michael King,orders84@supplier84.example.com,(977) 244-4678,Chicago,IL,60601,15,false
SUP0085,Artisan Cheese Works 85,meat,Ava Sanchez,orders85@supplier85.example.com,(399) 542-2340,Seattle,WA,98101,15,true
SUP0086,Urban Beverage Dist 86,dairy,James Gonzalez,orders86@supplier86.example.com,(368) 537-6092,San Antonio,TX,78205,15,false
SUP0087,Valley Farms Dairy 87,dry_goods,Jacob Johnson,orders87@supplier87.example.com,(806) 841-6477,Dallas,TX,75201,45,false
SUP0088,Coastal Seafoods 88,meat,Noah Perez,orders88@supplier88.example.com,(732) 442-2194,Portland,OR,97201,60,true
SUP0089,Artisan Cheese Works 89,packaging,Elijah Garcia,orders89@supplier89.example.com,(262) 234-7183,Miami,FL,33101,45,true
SUP0090,Roma Tomato Co 90,equipment,Isabella Brown,orders90@supplier90.example.com,(652) 256-5939,Tampa,FL,33602,60,false
SUP0091,Valley Farms Dairy 91,packaging,Noah Jackson,orders91@supplier91.example.com,(590) 611-2570,Miami,FL,33101,60,false
SUP0092,Valley Farms Dairy 92,dry_goods,Scarlett Robinson,orders92@supplier92.example.com,(638) 835-2659,Atlanta,GA,30303,45,false
SUP0093,Valley Farms Dairy 93,dry_goods,Sebastian Perez,orders93@supplier93.example.com,(801) 397-2769,Miami,FL,33101,15,false
SUP0094,Roma Tomato Co 94,packaging,Amelia Torres,orders94@supplier94.example.com,(329) 852-9337,Tampa,FL,33602,45,false
SUP0095,Artisan Cheese Works 95,produce,James Rodriguez,orders95@supplier95.example.com,(245) 261-3091,Portland,OR,97201,45,false
SUP0096,FireOven Packaging 96,meat,Aiden Wright,orders96@supplier96.example.com,(994) 349-3415,Chicago,IL,60601,60,false
SUP0097,GreenLeaf Produce 97,meat,Ava King,orders97@supplier0.example.com,(800) 873-3369,Phoenix,AZ,85004,15,false
SUP0098,Valley Farms Dairy 98,dry_goods,Ella Gonzalez,orders98@supplier1.example.com,(405) 855-4297,Charlotte,NC,28202,15,false
SUP0099,Artisan Cheese Works 99,beverages,Penelope Robinson,orders99@supplier2.example.com,(814) 909-6425,Miami,FL,33101,45,false
SUP0100,FireOven Packaging 100,produce,Sophia Robinson,orders100@supplier3.example.com,(243) 707-4594,Seattle,WA,98101,15,false
SUP0101,Coastal Seafoods 101,dry_goods,Owen Wilson,orders101@supplier4.example.com,(444) 692-6431,Tampa,FL,33602,60,false
SUP0102,Valley Farms Dairy 102,meat,Ava Jones,orders102@supplier5.example.com,(566) 230-2887,Houston,TX,77002,30,false
SUP0103,FireOven Packaging 103,dairy,Liam Gonzalez,orders103@supplier6.example.com,(402) 490-3853,San Antonio,TX,78205,30,true
SUP0104,Harvest Flour Mills 104,meat,Jack Thomas,orders104@supplier7.example.com,(382) 400-1352,Tampa,FL,33602,30,true
SUP0105,Roma Tomato Co 105,dairy,Matthew Rodriguez,orders105@supplier8.example.com,(588) 870-2818,Columbus,OH,43215,45,true
SUP0106,Artisan Cheese Works 106,produce,Michael White,orders106@supplier9.example.com,(876) 375-9633,Denver,CO,80202,60,true
SUP0107,Roma Tomato Co 107,produce,Isabella Gonzalez,orders107@supplier10.example.com,(396) 745-7196,Dallas,TX,75201,45,false
SUP0108,Coastal Seafoods 108,dairy,Nova Flores,orders108@supplier11.example.com,(801) 393-9773,Seattle,WA,98101,45,true
SUP0109,Coastal Seafoods 109,dairy,Hazel Moore,orders109@supplier12.example.com,(329) 720-9011,Phoenix,AZ,85004,30,true
SUP0110,Artisan Cheese Works 110,equipment,Aurora Flores,orders110@supplier13.example.com,(266) 371-9333,Nashville,TN,37203,60,true
SUP0111,FireOven Packaging 111,dry_goods,Sebastian Robinson,orders111@supplier14.example.com,(383) 529-7125,Miami,FL,33101,60,true
SUP0112,Artisan Cheese Works 112,meat,Aiden Sanchez,orders112@supplier15.example.com,(853) 797-1599,Portland,OR,97201,30,false
SUP0113,Artisan Cheese Works 113,equipment,James Sanchez,orders113@supplier16.example.com,(423) 513-7963,San Antonio,TX,78205,60,false
SUP0114,FireOven Packaging 114,meat,Jack Garcia,orders114@supplier17.example.com,(337) 969-2376,Columbus,OH,43215,45,false
SUP0115,Coastal Seafoods 115,packaging,Olivia Robinson,orders115@supplier18.example.com,(724) 836-6511,Phoenix,AZ,85004,60,false
SUP0116,Urban Beverage Dist 116,meat,Jackson Lee,orders116@supplier19.example.com,(479) 591-1404,Seattle,WA,98101,30,false
SUP0117,Roma Tomato Co 117,meat,Oliver Jackson,orders117@supplier20.example.com,(713) 725-9956,Denver,CO,80202,15,true
SUP0118,Coastal Seafoods 118,dairy,Elijah Jones,orders118@supplier21.example.com,(568) 239-9946,Columbus,OH,43215,30,false
SUP0119,FireOven Packaging 119,meat,Henry Moore,orders119@supplier22.example.com,(395) 922-3258,Miami,FL,33101,45,false
SUP0120,GreenLeaf Produce 120,equipment,Ella Sanchez,orders120@supplier23.example.com,(615) 793-1194,Denver,CO,80202,60,false
SUP0121,Harvest Flour Mills 121,equipment,Daniel Anderson,orders121@supplier24.example.com,(432) 940-4438,Nashville,TN,37203,60,false
SUP0122,Artisan Cheese Works 122,beverages,Logan Perez,orders122@supplier25.example.com,(287) 520-4077,Atlanta,GA,30303,60,true
SUP0123,Urban Beverage Dist 123,produce,Chloe Lewis,orders123@supplier26.example.com,(771) 230-7139,Tampa,FL,33602,30,false
SUP0124,GreenLeaf Produce 124,beverages,Ava Young,orders124@supplier27.example.com,(874) 563-6567,Houston,TX,77002,30,false
SUP0125,Urban Beverage Dist 125,equipment,David Wright,orders125@supplier28.example.com,(506) 533-1380,Miami,FL,33101,15,true
SUP0126,FireOven Packaging 126,packaging,Hazel Hill,orders126@supplier29.example.com,(822) 787-7404,Houston,TX,77002,60,false
SUP0127,Roma Tomato Co 127,packaging,Scarlett Gonzalez,orders127@supplier30.example.com,(686) 311-6387,Seattle,WA,98101,60,false
SUP0128,Roma Tomato Co 128,produce,Sophia Scott,orders128@supplier31.example.com,(381) 232-9005,Denver,CO,80202,15,false
SUP0129,Urban Beverage Dist 129,meat,Ethan Anderson,orders129@supplier32.example.com,(498) 875-9591,Dallas,TX,75201,15,false
SUP0130,Valley Farms Dairy 130,produce,Emily Clark,orders130@supplier33.example.com,(600) 360-2814,Phoenix,AZ,85004,30,false
SUP0131,Roma Tomato Co 131,dry_goods,Ethan Rodriguez,orders131@supplier34.example.com,(410) 517-8081,Portland,OR,97201,60,false
SUP0132,GreenLeaf Produce 132,packaging,Amelia Allen,orders132@supplier35.example.com,(933) 901-8519,Atlanta,GA,30303,45,false
SUP0133,Artisan Cheese Works 133,dairy,Daniel Hill,orders133@supplier36.example.com,(452) 738-6388,Houston,TX,77002,60,false
SUP0134,Valley Farms Dairy 134,beverages,Oliver Jackson,orders134@supplier37.example.com,(861) 667-6681,Atlanta,GA,30303,45,false
SUP0135,Harvest Flour Mills 135,dry_goods,James Lopez,orders135@supplier38.example.com,(832) 950-8079,Charlotte,NC,28202,60,false
SUP0136,Harvest Flour Mills 136,beverages,Riley Miller,orders136@supplier39.example.com,(602) 915-1715,Miami,FL,33101,30,true
SUP0137,GreenLeaf Produce 137,beverages,Aria Jackson,orders137@supplier40.example.com,(882) 268-4559,Houston,TX,77002,60,false
SUP0138,Roma Tomato Co 138,meat,Emma Miller,orders138@supplier41.example.com,(716) 984-6341,Nashville,TN,37203,60,false
SUP0139,Coastal Seafoods 139,packaging,Olivia Robinson,orders139@supplier42.example.com,(227) 274-8567,Denver,CO,80202,60,false
SUP0140,Coastal Seafoods 140,dry_goods,Olivia Smith,orders140@supplier43.example.com,(456) 317-3236,Seattle,WA,98101,45,false
SUP0141,Artisan Cheese Works 141,dry_goods,Emma Garcia,orders141@supplier44.example.com,(761) 872-4969,Portland,OR,97201,60,false
SUP0142,GreenLeaf Produce 142,equipment,Mia Hernandez,orders142@supplier45.example.com,(218) 821-2646,Charlotte,NC,28202,30,false
SUP0143,Urban Beverage Dist 143,produce,Emma Smith,orders143@supplier46.example.com,(893) 479-3514,Chicago,IL,60601,60,false
SUP0144,Valley Farms Dairy 144,beverages,Aria Wilson,orders144@supplier47.example.com,(652) 913-1782,San Antonio,TX,78205,15,false
SUP0145,Artisan Cheese Works 145,dairy,Nora Smith,orders145@supplier48.example.com,(249) 990-7183,Denver,CO,80202,30,true
SUP0146,Coastal Seafoods 146,produce,Oliver Johnson,orders146@supplier49.example.com,(631) 228-1238,Phoenix,AZ,85004,45,true
SUP0147,Roma Tomato Co 147,produce,Sophia Hernandez,orders147@supplier50.example.com,(941) 371-1721,Miami,FL,33101,60,false
SUP0148,FireOven Packaging 148,meat,Jack Gonzalez,orders148@supplier51.example.com,(839) 412-9875,Charlotte,NC,28202,60,true
SUP0149,Coastal Seafoods 149,produce,Sophia Thompson,orders149@supplier52.example.com,(531) 377-1245,Dallas,TX,75201,60,false
SUP0150,Urban Beverage Dist 150,produce,Logan Anderson,orders150@supplier53.example.com,(267) 873-5562,Austin,TX,78701,45,false
SUP0151,Coastal Seafoods 151,dry_goods,Henry Hill,orders151@supplier54.example.com,(711) 304-9784,Columbus,OH,43215,30,false
SUP0152,FireOven Packaging 152,beverages,Penelope Harris,orders152@supplier55.example.com,(894) 989-3177,Dallas,TX,75201,45,false
SUP0153,FireOven Packaging 153,equipment,Aurora Walker,orders153@supplier56.example.com,(269) 543-1289,Nashville,TN,37203,60,false
SUP0154,Coastal Seafoods 154,packaging,Aiden Smith,orders154@supplier57.example.com,(438) 221-3032,Miami,FL,33101,45,false
SUP0155,Coastal Seafoods 155,packaging,Oliver Brown,orders155@supplier58.example.com,(340) 583-9171,Seattle,WA,98101,45,false
SUP0156,Coastal Seafoods 156,beverages,Olivia Thomas,orders156@supplier59.example.com,(942) 812-8270,Seattle,WA,98101,45,false
SUP0157,Valley Farms Dairy 157,packaging,Grace Jackson,orders157@supplier60.example.com,(968) 224-4752,Phoenix,AZ,85004,45,false
SUP0158,Valley Farms Dairy 158,beverages,James Anderson,orders158@supplier61.example.com,(822) 590-9543,San Antonio,TX,78205,45,false
SUP0159,Valley Farms Dairy 159,dairy,Jackson Jones,orders159@supplier62.example.com,(397) 253-3318,Miami,FL,33101,30,false
SUP0160,Coastal Seafoods 160,produce,Lily Garcia,orders160@supplier63.example.com,(636) 942-8652,Houston,TX,77002,45,false
SUP0161,Coastal Seafoods 161,dry_goods,Mason Hill,orders161@supplier64.example.com,(454) 510-5675,San Antonio,TX,78205,60,true
SUP0162,GreenLeaf Produce 162,equipment,Zoey Garcia,orders162@supplier65.example.com,(568) 607-7188,San Antonio,TX,78205,30,false
SUP0163,Urban Beverage Dist 163,equipment,Lucas Walker,orders163@supplier66.example.com,(220) 980-7249,Seattle,WA,98101,60,true
SUP0164,GreenLeaf Produce 164,packaging,Aria Martinez,orders164@supplier67.example.com,(766) 944-3878,Nashville,TN,37203,45,false
SUP0165,Artisan Cheese Works 165,meat,Scarlett Scott,orders165@supplier68.example.com,(820) 692-2178,Denver,CO,80202,45,false
SUP0166,Coastal Seafoods 166,produce,Amelia Smith,orders166@supplier69.example.com,(213) 712-7131,Portland,OR,97201,60,false
SUP0167,Urban Beverage Dist 167,beverages,Michael Harris,orders167@supplier70.example.com,(701) 515-2167,Seattle,WA,98101,60,true
SUP0168,Roma Tomato Co 168,dry_goods,Riley Hernandez,orders168@supplier71.example.com,(398) 981-8148,Columbus,OH,43215,45,true
SUP0169,FireOven Packaging 169,packaging,Joseph Young,orders169@supplier72.example.com,(850) 905-7032,Nashville,TN,37203,15,false
SUP0170,Urban Beverage Dist 170,beverages,James Thomas,orders170@supplier73.example.com,(689) 235-6921,Columbus,OH,43215,15,false
SUP0171,Harvest Flour Mills 171,meat,Nora Robinson,orders171@supplier74.example.com,(897) 350-5166,Miami,FL,33101,30,false
SUP0172,Harvest Flour Mills 172,dairy,Elijah Garcia,orders172@supplier75.example.com,(859) 928-7297,Miami,FL,33101,60,true
SUP0173,Roma Tomato Co 173,packaging,Amelia Ramirez,orders173@supplier76.example.com,(369) 637-5143,Columbus,OH,43215,45,false
SUP0174,Urban Beverage Dist 174,packaging,Henry Clark,orders174@supplier77.example.com,(970) 945-2456,Chicago,IL,60601,15,false
SUP0175,FireOven Packaging 175,equipment,Lucas Moore,orders175@supplier78.example.com,(966) 414-7520,Nashville,TN,37203,45,false
SUP0176,Artisan Cheese Works 176,dairy,Sophia Jones,orders176@supplier79.example.com,(992) 913-7845,Houston,TX,77002,60,false
SUP0177,Urban Beverage Dist 177,produce,Mason White,orders177@supplier80.example.com,(390) 920-3200,Tampa,FL,33602,30,false
SUP0178,Roma Tomato Co 178,dry_goods,Riley Wilson,orders178@supplier81.example.com,(390) 405-1966,Chicago,IL,60601,30,true
SUP0179,GreenLeaf Produce 179,equipment,Grace Lewis,orders179@supplier82.example.com,(841) 839-2789,San Antonio,TX,78205,30,false
SUP0180,Urban Beverage Dist 180,dairy,Benjamin Jones,orders180@supplier83.example.com,(550) 230-4846,Dallas,TX,75201,60,false
SUP0181,Roma Tomato Co 181,dairy,Noah Moore,orders181@supplier84.example.com,(969) 207-1685,Nashville,TN,37203,15,false
SUP0182,Valley Farms Dairy 182,dry_goods,Nora King,orders182@supplier85.example.com,(979) 472-8961,Nashville,TN,37203,60,true
SUP0183,Urban Beverage Dist 183,meat,Michael Perez,orders183@supplier86.example.com,(522) 445-6918,Atlanta,GA,30303,60,false
SUP0184,FireOven Packaging 184,equipment,Alexander Miller,orders184@supplier87.example.com,(203) 667-7583,Austin,TX,78701,30,false
SUP0185,GreenLeaf Produce 185,beverages,Nova Thomas,orders185@supplier88.example.com,(577) 662-8785,Dallas,TX,75201,60,false
SUP0186,FireOven Packaging 186,dairy,Hazel White,orders186@supplier89.example.com,(246) 953-6333,Austin,TX,78701,60,false
SUP0187,Urban Beverage Dist 187,beverages,Owen Garcia,orders187@supplier90.example.com,(556) 638-8800,Portland,OR,97201,15,true
SUP0188,Coastal Seafoods 188,beverages,Lucas King,orders188@supplier91.example.com,(785) 933-9267,Denver,CO,80202,15,false
SUP0189,Roma Tomato Co 189,meat,Matthew Scott,orders189@supplier92.example.com,(678) 372-8311,Nashville,TN,37203,15,false
SUP0190,Coastal Seafoods 190,produce,Ethan Hernandez,orders190@supplier93.example.com,(971) 875-2465,Chicago,IL,60601,15,false
SUP0191,Valley Farms Dairy 191,produce,Emily Harris,orders191@supplier94.example.com,(984) 487-4610,Tampa,FL,33602,45,false
SUP0192,Roma Tomato Co 192,beverages,Isabella Wright,orders192@supplier95.example.com,(848) 942-9060,Columbus,OH,43215,15,true
SUP0193,Coastal Seafoods 193,packaging,David Hill,orders193@supplier96.example.com,(266) 859-6623,Phoenix,AZ,85004,60,true
SUP0194,Urban Beverage Dist 194,beverages,Samuel Scott,orders194@supplier0.example.com,(647) 438-4662,Tampa,FL,33602,45,false
SUP0195,Roma Tomato Co 195,dairy,Alexander Nguyen,orders195@supplier1.example.com,(392) 962-2902,Dallas,TX,75201,45,false
SUP0196,Urban Beverage Dist 196,packaging,Levi Smith,orders196@supplier2.example.com,(518) 263-9775,Phoenix,AZ,85004,30,true
SUP0197,FireOven Packaging 197,equipment,Michael Rodriguez,orders197@supplier3.example.com,(732) 879-4639,Seattle,WA,98101,15,false
SUP0198,Artisan Cheese Works 198,meat,Lucas Jackson,orders198@supplier4.example.com,(424) 711-8467,Chicago,IL,60601,30,false
SUP0199,Valley Farms Dairy 199,packaging,Emily Martin,orders199@supplier5.example.com,(714) 905-3022,Houston,TX,77002,45,true
SUP0200,Artisan Cheese Works 200,beverages,Ethan Young,orders200@supplier6.example.com,(498) 921-7171,Tampa,FL,33602,15,true
SUP0201,Harvest Flour Mills 201,equipment,Joseph Wilson,orders201@supplier7.example.com,(950) 430-1861,Phoenix,AZ,85004,30,true
SUP0202,Urban Beverage Dist 202,meat,Aurora Hernandez,orders202@supplier8.example.com,(222) 761-7427,Tampa,FL,33602,45,false
SUP0203,FireOven Packaging 203,equipment,Daniel Sanchez,orders203@supplier9.example.com,(273) 740-5637,Portland,OR,97201,45,false
SUP0204,Urban Beverage Dist 204,dairy,Isabella Lee,orders204@supplier10.example.com,(970) 794-1886,San Antonio,TX,78205,45,false
SUP0205,Harvest Flour Mills 205,dry_goods,Penelope Walker,orders205@supplier11.example.com,(498) 348-4436,Houston,TX,77002,30,true
